case_no,samples_sequenced_seq_id,id,date_symptoms_started_proxy,days_uncertain,exclude_progen,owned,locality,utm_easting_centroid,utm_northing_centroid,lineage
R-9,4B-22-37,9,28/09/2022,2,FALSE,TRUE,Romblon-Alcantara-San Isidro,396990.3296,1359016.206,1
R-4,4B-22-39,4,15/10/2022,2,FALSE,TRUE,Romblon-Alcantara-San Isidro,396990.3296,1359016.206,1
R-2,NA,2,12/11/2022,2,FALSE,TRUE,Romblon-San Agustin-Cabolutan,404612.0093,1393176.401,0
R-3,Z-22-103,3,16/11/2022,2,FALSE,TRUE,Romblon-Santa Maria-Paroyhog,401063.264,1372955.316,1
R-5,4B-22-41,5,21/11/2022,2,FALSE,TRUE,Romblon-Odiongan-Dapawan,390713.0838,1371027.517,1
R-6,4B-22-42,6,22/11/2022,2,FALSE,TRUE,Romblon-Alcantara-Bonlao,396498.976,1361503.863,1
R-7,NA,7,08/12/2022,2,FALSE,TRUE,Romblon-Odiongan-Dapawan,390713.0838,1371027.517,0
R-15,4B-22-44,15,09/12/2022,2,FALSE,TRUE,Romblon-Odiongan-Dapawan,390713.0838,1371027.517,1
R-10,Z-22-121,10,11/12/2022,2,FALSE,TRUE,Romblon-San Agustin-Carmen,403585.5554,1395359.062,3
R-14,Z-22-119,14,23/12/2022,2,FALSE,TRUE,Romblon-Odiongan-Tulay,390458.1695,1369895.942,5
R-13,NA,13,26/12/2022,2,FALSE,TRUE,Romblon-Santa Maria-Paroyhog,401063.264,1372955.316,0
R-16,NA,16,01/01/2023,2,FALSE,FALSE,Romblon-San Agustin-Carmen,403585.5554,1395359.062,0
R-17,4B-23-02,17,11/01/2023,2,FALSE,TRUE,Romblon-Odiongan-Dapawan,390713.0838,1371027.517,1
R-20,4B-23-01,20,18/01/2023,2,FALSE,TRUE,Romblon-Santa Maria-Concepcion Norte,401059.7215,1371061.817,1
R-18,4B-23-03,18,18/01/2023,2,FALSE,FALSE,Romblon-San Agustin-Sugod,405533.516,1397395.288,3
R-21,4B-23-05,21,28/01/2023,2,FALSE,TRUE,Romblon-San Agustin-Sugod,405533.516,1397395.288,5
R-22,4B-23-04,22,29/01/2023,2,FALSE,TRUE,Romblon-San Agustin-Carmen,403585.5554,1395359.062,3
R-23,4B-23-06,23,08/01/2023,2,FALSE,TRUE,Romblon-Santa Maria-Concepcion Norte,401059.7215,1371061.817,1
R-28,4B-23-07,28,07/02/2023,2,FALSE,FALSE,Romblon-Santa Maria-Concepcion Sur,399651.8556,1368346.219,1
R-33,4B-23-12,33,12/02/2023,2,FALSE,TRUE,Romblon-Santa Maria-Concepcion Norte,401059.7215,1371061.817,1
R-30,4B-23-15,30,20/02/2023,2,FALSE,FALSE,Romblon-Odiongan-Poctoy,391547.3107,1371947.564,1
R-31,4B-23-13,31,03/02/2023,2,FALSE,TRUE,Romblon-Odiongan-Rizal,394614.1319,1367880.404,1
R-34,4B-23-16,34,26/02/2023,2,FALSE,TRUE,Romblon-Odiongan-Dapawan,390713.0838,1371027.517,5
R-35,4B-23-17,35,27/02/2023,2,FALSE,FALSE,Romblon-Odiongan-Poctoy,391547.3107,1371947.564,5
R-37,4B-23-19,37,27/02/2023,2,FALSE,FALSE,Romblon-San Agustin-Mahabang Baybay,407726.8098,1397361.654,5
R-39,NA,39,08/03/2023,2,FALSE,FALSE,Romblon-Odiongan-Gabawan,392080.2399,1373858.979,0
R-38,NA,38,12/03/2023,2,FALSE,TRUE,Romblon-Odiongan-Canduyong,386353.0381,1369741.271,0
R-42,NA,42,03/04/2023,2,FALSE,FALSE,Romblon-Alcantara-Gui-Ob,396898.432,1353980.628,0
R-43,NA,43,11/04/2023,2,FALSE,TRUE,Romblon-Looc-Punta,392434.0401,1355375.507,0
R-44,NA,44,17/04/2023,2,FALSE,TRUE,Romblon-Calatrava-Pangulo,401533.7548,1394553.467,0
R-48,NA,48,21/05/2023,2,FALSE,TRUE,Romblon-San Agustin-Cagbuaya,405509.9003,1391140.126,0
R-59,NA,59,29/06/2023,2,FALSE,FALSE,Romblon-San Agustin-Carmen,403585.5554,1395359.062,0
R-56,NA,56,02/07/2023,2,FALSE,TRUE,Romblon-San Andres-Matutuna,395448.7926,1380422.291,0
R-58,NA,58,01/08/2023,2,FALSE,FALSE,Romblon-San Andres-Linawan,394043.7032,1388827.479,0
R-62,NA,62,19/08/2023,2,FALSE,FALSE,Romblon-Santa Fe-Mat-I,389258.7234,1346950.606,0
R-61,NA,61,27/08/2023,2,FALSE,FALSE,Romblon-Santa Fe-Mat-I,389258.7234,1346950.606,0
R-63,NA,63,07/09/2023,2,FALSE,FALSE,Romblon-Santa Maria-Concepcion Norte,401059.7215,1371061.817,0
R-65,NA,65,25/09/2023,2,FALSE,TRUE,Romblon-San Agustin-Bachawan,401166.1637,1377342.099,0
R-45,NA,45,24/12/2022,2,FALSE,FALSE,Romblon-Santa Maria-Concepcion Sur,399651.8556,1368346.219,2
R-46,NA,46,30/12/2022,2,FALSE,TRUE,Romblon-Odiongan-Tulay,390458.1695,1369895.942,0
R-1,NA,1,10/11/2022,2,FALSE,FALSE,Romblon-Santa Maria-Paroyhog,401063.264,1372955.316,0
R-29,4B-23-11,29,02/02/2023,7,FALSE,TRUE,Romblon-San Andres-Juncarlo,396474.7957,1386268.686,4
R-40,NA,40,24/03/2023,7,FALSE,TRUE,Romblon-San Agustin-Sugod,405533.516,1397395.288,0
R-41,NA,41,24/03/2023,7,FALSE,TRUE,Romblon-San Agustin-Dubduban,403133.8263,1390562.96,0
R-53,NA,53,20/06/2023,7,FALSE,TRUE,Romblon-San Agustin-Dubduban,403133.8263,1390562.96,0
R-75,4B-22-45,75,10/12/2022,2,FALSE,FALSE,Romblon-Santa Maria-Concepcion Sur,399651.8556,1368346.219,1
