Accession,Sample ID,Major/Minor clade,Sample collection year,Host species,Country,Municipality or City of origin,Tissue type
OQ326757,18-092,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326761,18-094,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326764,18-096,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326750,18-099,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326755,18-101,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326752,18-102,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326754,18-103,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326751,18-106,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326749,18-107,ASIAN SEA4,2018,Canine,Philippines,Compostela Valley,Brain
OQ326756,18-114,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326753,18-116,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326758,18-118,ASIAN SEA4,2018,Canine,Philippines,Digos Cogon,Brain
OQ326762,18-120,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326766,18-121,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326759,18-130,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326760,18-133,ASIAN SEA4,2018,Canine,Philippines,Tagum,Brain
OQ326767,18-135,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326748,18-138,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326784,18-142,ASIAN SEA4,2018,Canine,Philippines,Nabunturan,Brain
OQ326776,18-144,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326772,18-147,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326774,18-151,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326773,18-153,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326744,18-162,ASIAN SEA4,2018,Canine,Philippines,Samal,Brain
OQ326747,18-163,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326738,18-164,ASIAN SEA4,2018,Canine,Philippines,Digos,Brain
OQ326737,18-172,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326743,18-174,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326775,18-179,ASIAN SEA4,2018,Canine,Philippines,Cotabato,Brain
OQ326783,18-181,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326777,18-183,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326746,18-188,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326768,18-191,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326780,18-194,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326779,18-196,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326736,18-199,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326781,18-209,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326745,18-214,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326742,18-216,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326782,18-221,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326778,18-223,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326769,18-224,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326771,18-225,ASIAN SEA4,2018,Canine,Philippines,Davao,Brain
OQ326740,19-004,ASIAN SEA4,2019,Canine,Philippines,Davao,Brain
OQ326741,19-011,ASIAN SEA4,2019,Canine,Philippines,Davao,Brain
OQ326739,19-015,ASIAN SEA4,2019,Canine,Philippines,Davao,Brain
OQ326770,19-022,ASIAN SEA4,2019,Canine,Philippines,Davao,Brain
OQ326763,19-045,ASIAN SEA4,2019,Canine,Philippines,Davao,Brain
OQ326765,19-050,ASIAN SEA4,2019,Canine,Philippines,Panabo,Brain
