sequence.sequenceID,alignment.displayName,sequence.m49_country.display_name,sequence.collection_year,sequence.earliest_collection_year,brgy,place,province,region,,latitude,longitude,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate,seq
R11-21-61,Asian SEA4,Philippines,,,,Midsayap,Cotabato,Bangsamoro,BARRM,7.136249451,124.5166062,11/08/2021,11872,,,Canis familiaris,,R11-21-61,R11-21-61
AB563973,Asian SEA4,Philippines,2009,2009,,Tadian,Mountain Province,Cordillera Administrative Region,CAR,,,13/07/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/CAR.PHL/2009/TRa-198,RV/CAR.PHL/2009/TRa-198
AB563992,Asian SEA4,Philippines,2009,2009,,Besao,Mountain Province,Cordillera Administrative Region,CAR,,,13/08/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/CAR.PHL/2009/TRa-222,RV/CAR.PHL/2009/TRa-222
AB563993,Asian SEA4,Philippines,2009,2009,,Banaue,Ifugao,Cordillera Administrative Region,CAR,,,26/08/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/CAR.PHL/2009/TRa-224,RV/CAR.PHL/2009/TRa-224
AB564000,Asian SEA4,Philippines,2009,2009,,Bontoc,Mountain Province,Cordillera Administrative Region,CAR,,,17/09/2009,1575,03-Apr-13,25-Jun-13,-,23593515,RV/CAR.PHL/2009/TRa-234,RV/CAR.PHL/2009/TRa-234
AB683593,Asian SEA4,Philippines,2009,2009,,,Mountain Province,Cordillera Administrative Region,CAR,,,14/07/2009,1124,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/CAR.PHL/2009/TRa-199,RV/CAR.PHL/2009/TRa-199
AB683594,Asian SEA4,Philippines,2009,2009,,,Mountain Province,Cordillera Administrative Region,CAR,,,28/07/2009,1124,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/CAR.PHL/2009/TRa-200,RV/CAR.PHL/2009/TRa-200
AB733961,Asian SEA4,Philippines,2009,2009,,Bontoc,Mountain Province,Cordillera Administrative Region,CAR,,,24/10/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/CAR.PHL/2009/TRa-285,RV/CAR.PHL/2009/TRa-285
AB733962,Asian SEA4,Philippines,2010,2010,,Alfonso,ifugao,Cordillera Administrative Region,CAR,,,25/01/2010,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/CAR.PHL/2010/TRa-289,RV/CAR.PHL/2010/TRa-289
AB771910,Asian SEA4,Philippines,2010,2010,,Tabuk,Kalinga Apayao,Cordillera Administrative Region,CAR,,,01/01/2010,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,RV/CAR.PHL/2010/TRa-291,RV/CAR.PHL/2010/TRa-291
LC018525,Asian SEA4,Philippines,2013,2013,,Tabuk,Kalinga Apayao,Cordillera Administrative Region,CAR,,,25/02/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/CAR.PHL/2013/TRa-370,RV/CAR.PHL/2013/TRa-370
LC018545,Asian SEA4,Philippines,2013,2013,,Lamut,Ifugao,Cordillera Administrative Region,CAR,,,26/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/CAR.PHL/2013/TRa-405,RV/CAR.PHL/2013/TRa-405
LC018547,Asian SEA4,Philippines,2013,2013,,Lamut,Ifugao,Cordillera Administrative Region,CAR,,,05/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/CAR.PHL/2013/TRa-407,RV/CAR.PHL/2013/TRa-407
