"Sample.ID","Region","Province"
"18-092","Davao Region",NA
"18-094","Davao Region",NA
"18-096","Davao Region",NA
"18-099","Davao Region",NA
"18-101","Davao Region",NA
"18-102","Davao Region",NA
"18-103","Davao Region",NA
"18-106","Davao Region",NA
"18-107","Davao Region",NA
"18-114","Davao Region",NA
"18-116","Davao Region",NA
"18-118","Davao Region",NA
"18-120","Davao Region",NA
"18-121","Davao Region",NA
"18-130","Davao Region",NA
"18-133","Davao Region",NA
"18-135","Davao Region",NA
"18-138","Davao Region",NA
"18-142","Davao Region",NA
"18-144","Davao Region",NA
"18-147","Davao Region",NA
"18-151","Davao Region",NA
"18-153","Davao Region",NA
"18-162","Davao Region",NA
"18-163","Davao Region",NA
"18-164","Davao Region",NA
"18-172","Davao Region",NA
"18-174","Davao Region",NA
"18-179","Davao Region",NA
"18-181","Davao Region",NA
"18-183","Davao Region",NA
"18-188","Davao Region",NA
"18-191","Davao Region",NA
"18-194","Davao Region",NA
"18-196","Davao Region",NA
"18-199","Davao Region",NA
"18-209","Davao Region",NA
"18-214","Davao Region",NA
"18-216","Davao Region",NA
"18-221","Davao Region",NA
"18-223","Davao Region",NA
"18-224","Davao Region",NA
"18-225","Davao Region",NA
"19-004","Davao Region",NA
"19-011","Davao Region",NA
"19-015","Davao Region",NA
"19-022","Davao Region",NA
"19-045","Davao Region",NA
"19-050","Davao Region",NA
"4A-22-203","Calabarzon","Quezon"
"4B-22-37","Southwestern Tagalog Region","Romblon"
"4B-22-39","Southwestern Tagalog Region","Romblon"
"4B-22-41","Southwestern Tagalog Region","Romblon"
"4B-22-42","Southwestern Tagalog Region","Romblon"
"4B-22-44","Southwestern Tagalog Region","Romblon"
"4B-22-45","Southwestern Tagalog Region","Romblon"
"4B-23-01","Southwestern Tagalog Region","Romblon"
"4B-23-02","Southwestern Tagalog Region","Romblon"
"4B-23-03","Southwestern Tagalog Region","Romblon"
"4B-23-04","Southwestern Tagalog Region","Romblon"
"4B-23-05","Southwestern Tagalog Region","Romblon"
"4B-23-06","Southwestern Tagalog Region","Romblon"
"4B-23-07","Southwestern Tagalog Region","Romblon"
"4B-23-11","Southwestern Tagalog Region","Romblon"
"4B-23-12","Southwestern Tagalog Region","Romblon"
"4B-23-13","Southwestern Tagalog Region","Romblon"
"4B-23-15","Southwestern Tagalog Region","Romblon"
"4B-23-16","Southwestern Tagalog Region","Romblon"
"4B-23-17","Southwestern Tagalog Region","Romblon"
"4B-23-19","Southwestern Tagalog Region","Romblon"
"H-23-011Sk_12","Southwestern Tagalog Region","Romblon"
"Z-14-098","Calabarzon","Batangas"
"Z-16-082","Calabarzon","Laguna"
"Z-17-046","Calabarzon","Batangas"
"Z-18-224","National Capital Region","Metropolitan Manila"
"Z-22-103","Southwestern Tagalog Region","Romblon"
"Z-22-119",NA,"Romblon"
"Z-22-121","Southwestern Tagalog Region","Romblon"
"PHI103","Northern Mindanao",NA
"PHI114","Northern Mindanao",NA
"PHI103","Northern Mindanao",NA
"PHI114","Northern Mindanao",NA
"RV/R4A.PHL/2004/Z-04-042","Calabarzon","Cavite"
"RV/R4A.PHL/2004/Z-04-211","Calabarzon","Laguna"
"RV/R4A.PHL/2004/Z-04-389","Calabarzon","Cavite"
"RV/R4A.PHL/2004/Z-04-401","Calabarzon","Rizal"
"RV/R4A.PHL/2004/Z-04-420","Calabarzon","Cavite"
"RV/NCR.PHL/2004/Z-04-421","National Capital Region","Metropolitan Manila"
"RV/R4A.PHL/2004/Z-04-480","Calabarzon","Laguna"
"RV/R3.PHL/2004/Z-04-519","Central Luzon","Aurora"
"RV/NCR.PHL/2004/Z-04-534","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-009","National Capital Region","Metropolitan Manila"
"RV/R4A.PHL/2005/Z-05-012","Calabarzon","Laguna"
"RV/R4A.PHL/2005/Z-05-017","Calabarzon","Cavite"
"RV/NCR.PHL/2005/Z-05-090","National Capital Region","Metropolitan Manila"
"RV/R4A.PHL/2005/Z-05-123","Calabarzon","Laguna"
"RV/NCR.PHL/2005/Z-05-149","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-168","National Capital Region","Metropolitan Manila"
"RV/R11.PHL/2005/Z-05-186","Davao Region","Davao del Sur"
"RV/NCR.PHL/2005/Z-05-187","National Capital Region","Metropolitan Manila"
"RV/R3.PHL/2005/Z-05-198","Central Luzon","Nueva Ecija"
"RV/NCR.PHL/2005/Z-05-285","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-299","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-373","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-396","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-424","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-465","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-466","National Capital Region","Metropolitan Manila"
"RV/R3.PHL/2005/Z-05-507","Central Luzon","Bulacan"
"RV/R4A.PHL/2006/Z-06-039","Calabarzon","Batangas"
"RV/R4A.PHL/2006/Z-06-163","Calabarzon","Laguna"
"RV/R4A.PHL/2006/Z-06-197","Calabarzon","Batangas"
"RV/R4B.PHL/2006/Z-06-203","Southwestern Tagalog Region","Oriental Mindoro"
"RV/R4A.PHL/2006/Z-06-222","Calabarzon","Cavite"
"RV/R4A.PHL/2006/Z-06-231","Calabarzon","Cavite"
"RV/R4A.PHL/2006/Z-06-342","Calabarzon","Laguna"
"RV/R4A.PHL/2006/Z-06-345","Calabarzon","Batangas"
"RV/R4A.PHL/2006/Z-06-348","Calabarzon","Cavite"
"RV/R4A.PHL/2006/Z-06-357","Calabarzon","Batangas"
"RV/R4A.PHL/2006/Z-06-361","Calabarzon","Laguna"
"RV/R4A.PHL/2006/Z-06-362","Calabarzon","Batangas"
"RV/R4A.PHL/2006/Z-06-365","Calabarzon","Cavite"
"RV/R4B.PHL/2006/Z-06-408","Southwestern Tagalog Region","Oriental Mindoro"
"RV/R4A.PHL/2007/Z-07-189","Calabarzon","Cavite"
"RV/R4A.PHL/2007/Z-07-243","Calabarzon","Cavite"
"RV/R4A.PHL/2007/Z-07-252","Calabarzon","Quezon"
"RV/R4A.PHL/2007/Z-07-307","Calabarzon","Cavite"
"RV/R4A.PHL/2007/Z-07-317","Calabarzon","Cavite"
"RV/R4A.PHL/2007/Z-07-330","Calabarzon","Cavite"
"RV/R3.PHL/2008/TRa-002","Central Luzon","Pampanga"
"RV/R5.PHL/2008/TRa-005","Bicol Region","Albay"
"RV/R3.PHL/2008/TRa-006","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-009","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2008/TRa-010","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-011","Central Luzon","Zambales"
"RV/R3.PHL/2008/TRa-013","Central Luzon","Tarlac"
"RV/R10.PHL/2008/TRa-014","Northern Mindanao","Misamis Oriental"
