Sample.ID,,Region,Province,year,country,assignment,NCBI.accession,Sample.collection.date,Host.species,Municipality,Barangay,Location,source,corrected_date,decimal_date,outbreak
55,,Ilocos Region,Pampanga,2019,Philippines,SEA4,LC550027,2019,Canis lupus familiaris,NA,NA,"Region III, Pampanga",rabv-glue,01/01/2019,2019,Other
66,,Ilocos Region,Pampanga,2019,Philippines,SEA4,LC550026,2019,Canis lupus familiaris,NA,NA,"Region III, Pampanga",rabv-glue,01/01/2019,2019,Other
87,,Ilocos Region,Pampanga,2019,Philippines,SEA4,LC550025,2019,Canis lupus familiaris,NA,NA,"Region III, Pampanga",rabv-glue,01/01/2019,2019,Other
93,,Ilocos Region,Pampanga,2019,Philippines,SEA4,LC550024,2019,Canis lupus familiaris,NA,NA,"Region III, Pampanga",rabv-glue,01/01/2019,2019,Other
120,,Ilocos Region,Nueva Ecija,2019,Philippines,SEA4,LC550023,2019,Canis lupus familiaris,NA,NA,"Region III, Nueva Ecija",rabv-glue,01/01/2019,2019,Other
121,,Ilocos Region,Bulacan,2019,Philippines,SEA4,LC550022,2019,Canis lupus familiaris,NA,NA,"Region III, Bulacan",rabv-glue,01/01/2019,2019,Other
130,,Ilocos Region,Bulacan,2019,Philippines,SEA4,LC550021,2019,Canis lupus familiaris,NA,NA,"Region III, Bulacan",rabv-glue,01/01/2019,2019,Other
131,,Ilocos Region,Bulacan,2019,Philippines,SEA4,LC550020,2019,Canis lupus familiaris,NA,NA,"Region III, Bulacan",rabv-glue,01/01/2019,2019,Other
132,,Ilocos Region,Bulacan,2019,Philippines,SEA4,LC550019,2019,Canis lupus familiaris,NA,NA,"Region III, Bulacan",rabv-glue,01/01/2019,2019,Other
140,,Ilocos Region,Zambales,2019,Philippines,SEA4,LC550018,2019,Canis lupus familiaris,NA,NA,"Region III, Zambales",rabv-glue,01/01/2019,2019,Other
03006PHI,,NA,NA,2000,Philippines,SEA4,EU086203,2000,Homo sapiens,NA,NA,-,rabv-glue,01/01/2000,2000,Other
03007PHI,,NA,NA,2001,Philippines,SEA4,EU086204,2001,Homo sapiens,NA,NA,-,rabv-glue,01/01/2001,2001,Other
04030PHI,,NA,NA,2004,Philippines,SEA4,EU086155,2004,Homo sapiens,NA,NA,-,rabv-glue,01/01/2004,2004,Other
94270PHI,,NA,,1994,Philippines,SEA4,EU086200,1994,Canis familiaris,NA,NA,-,rabv-glue,01/01/1994,1994,Other
18-092,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326757,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-094,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326761,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-096,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326764,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-099,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326750,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-101,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326755,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-102,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326752,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-103,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326754,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-106,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326751,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-107,,Davao Region,Compostela Valley,2018,Philippines,SEA4,OQ326749,2018,Canine,Compostela Valley,NA,NA,genbank,01/01/2018,2018,Other
18-114,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326756,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-116,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326753,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-118,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326758,2018,Canine,Digos Cogon,NA,NA,genbank,01/01/2018,2018,Other
