Sample.ID,Region,Province
55,Ilocos Region,Pampanga
66,Ilocos Region,Pampanga
87,Ilocos Region,Pampanga
93,Ilocos Region,Pampanga
120,Ilocos Region,Nueva Ecija
121,Ilocos Region,Bulacan
130,Ilocos Region,Bulacan
131,Ilocos Region,Bulacan
132,Ilocos Region,Bulacan
140,Ilocos Region,Zambales
153,Bicol Region,Albay
03006PHI,NA,NA
03007PHI,NA,NA
04030PHI,NA,NA
18-092,Davao Region,Davao del Sur
18-094,Davao Region,Davao del Sur
18-096,Davao Region,Davao del Sur
18-099,Davao Region,Davao del Sur
18-101,Davao Region,Davao del Sur
18-102,Davao Region,Davao del Sur
18-103,Davao Region,Davao del Sur
18-106,Davao Region,Davao del Sur
18-107,Davao Region,Compostela Valley
18-114,Davao Region,Davao del Sur
18-116,Davao Region,Davao del Sur
18-118,Davao Region,Davao del Sur
18-120,Davao Region,Davao del Sur
18-121,Davao Region,Davao del Sur
18-130,Davao Region,Davao del Sur
18-133,Davao Region,Davao del Sur 
18-135,Davao Region,Davao del Sur
18-138,Davao Region,Davao del Sur
18-142,Davao Region,Compostela Valley
18-144,Davao Region,Davao del Sur
18-147,Davao Region,Davao del Sur
18-151,Davao Region,Davao del Sur
18-153,Davao Region,Davao del Sur
18-162,Davao Region,Davao del Norte
18-163,Davao Region,Davao del Sur
18-164,Davao Region,Davao del Sur
18-172,Davao Region,Davao del Sur
18-174,Davao Region,Davao del Sur
18-179,Davao Region,Cotabato
18-181,Davao Region,Davao del Sur
18-183,Davao Region,Davao del Sur
18-188,Davao Region,Davao del Sur
18-191,Davao Region,Davao del Sur
18-194,Davao Region,Davao del Sur
18-196,Davao Region,Davao del Sur
18-199,Davao Region,Davao del Sur
18-209,Davao Region,Davao del Sur
18-214,Davao Region,Davao del Sur
18-216,Davao Region,Davao del Sur
18-221,Davao Region,Davao del Sur
18-223,Davao Region,Davao del Sur
18-224,Davao Region,Davao del Sur
18-225,Davao Region,Davao del Sur
19-004,Davao Region,Davao del Sur
19-011,Davao Region,Davao del Sur
19-015,Davao Region,Davao del Sur
19-022,Davao Region,Davao del Sur
19-045,Davao Region,Davao del Sur
19-050,Davao Region,Davao del Norte
4A-22-104,Calabarzon,Batangas
4A-22-171,Calabarzon,Cavite
4A-22-203,Calabarzon,Quezon
4A-22-40,Calabarzon,Batangas
4A-22-98,Calabarzon,Quezon
4B-21-126,Southwestern Tagalog Region,Oriental Mindoro
4B-21-29,Southwestern Tagalog Region,Oriental Mindoro
4B-21-310,Southwestern Tagalog Region,Oriental Mindoro
4B-21-35,Southwestern Tagalog Region,Oriental Mindoro
4B-21-412,Southwestern Tagalog Region,Oriental Mindoro
4B-21-421,Southwestern Tagalog Region,Oriental Mindoro
4B-21-423,Southwestern Tagalog Region,Oriental Mindoro
4B-21-528,Southwestern Tagalog Region,Oriental Mindoro
4B-21622,Southwestern Tagalog Region,Oriental Mindoro
4B-22-114,Southwestern Tagalog Region,Oriental Mindoro
4B-22-13,Southwestern Tagalog Region,Oriental Mindoro
4B-22-15,Southwestern Tagalog Region,Oriental Mindoro
4B-22-16,Southwestern Tagalog Region,Oriental Mindoro
4B-22-17,Southwestern Tagalog Region,Oriental Mindoro
4B-22-20,Southwestern Tagalog Region,Oriental Mindoro
4B-22-21,Southwestern Tagalog Region,Oriental Mindoro
4B-22-28,Southwestern Tagalog Region,Oriental Mindoro
