"Sample.ID","X","Region","Province","year","country","assignment","NCBI.accession","Sample.collection.date","Host.species","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak","id_case","membership","lineage","lineage_chain","maddog"
"03006PHI",NA,NA,NA,2000,"Philippines","SEA4","EU086203","2000","Homo sapiens",NA,NA,"-","rabv-glue","01/01/2000",2000,"Other",NA,NA,NA,NA,NA
"03007PHI",NA,NA,NA,2001,"Philippines","SEA4","EU086204","2001","Homo sapiens",NA,NA,"-","rabv-glue","01/01/2001",2001,"Other",NA,NA,NA,NA,NA
"04030PHI",NA,NA,NA,2004,"Philippines","SEA4","EU086155","2004","Homo sapiens",NA,NA,"-","rabv-glue","01/01/2004",2004,"Other",NA,NA,NA,NA,NA
"120",NA,"Ilocos Region","Nueva Ecija",2019,"Philippines","SEA4","LC550023","2019","Canis lupus familiaris",NA,NA,"Region III, Nueva Ecija","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"121",NA,"Ilocos Region","Bulacan",2019,"Philippines","SEA4","LC550022","2019","Canis lupus familiaris",NA,NA,"Region III, Bulacan","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"130",NA,"Ilocos Region","Bulacan",2019,"Philippines","SEA4","LC550021","2019","Canis lupus familiaris",NA,NA,"Region III, Bulacan","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"131",NA,"Ilocos Region","Bulacan",2019,"Philippines","SEA4","LC550020","2019","Canis lupus familiaris",NA,NA,"Region III, Bulacan","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"132",NA,"Ilocos Region","Bulacan",2019,"Philippines","SEA4","LC550019","2019","Canis lupus familiaris",NA,NA,"Region III, Bulacan","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"140",NA,"Ilocos Region","Zambales",2019,"Philippines","SEA4","LC550018","2019","Canis lupus familiaris",NA,NA,"Region III, Zambales","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"153",NA,"Bicol Region","Albay",2018,"Philippines","SEA4",NA,"17/05/2018","Canis familiaris",NA,"Paulog","Ligao","this paper","5/17/18",2018.372603,"Other",NA,NA,NA,NA,NA
"18-092",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326757","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-094",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326761","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-096",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326764","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-099",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326750","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-101",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326755","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
