"lineage","country","year_first","year_last","n_seqs","parent"
"Asian SEA4_E1.1","Philippines","2022","2024",13,"Asian SEA4_E1"
"Asian SEA4_E1","Philippines","2023","2023",7,"Asian SEA4_C1.1.1"
"Asian SEA4_D1.1","Philippines","2008","2009",14,"Asian SEA4_D1"
"Asian SEA4_D1","Philippines","2008","2022",8,"Asian SEA4_B1.1.1"
"Asian SEA4_C1.1.1","Philippines","2012","2019",6,"Asian SEA4_C1.1"
"Asian SEA4_C1.1","Philippines","2008","2019",35,"Asian SEA4_C1"
"Asian SEA4_C1","Philippines","2005","2022",7,"Asian SEA4_A1.2.2"
"Asian SEA4_B1.1.1","Philippines","2008","2009",7,"Asian SEA4_B1.1"
"Asian SEA4_B1.1","Philippines","2013","2022",5,"Asian SEA4_B1"
"Asian SEA4_B1","c(""Philippines"", ""Thailand"")","2004","2022",6,"Asian SEA4_A1.1.2"
"Asian SEA4_A1.3","Philippines","1994","2013",5,"Asian SEA4_A1"
"Asian SEA4_A1.2.2","Philippines","1998","2013",4,"Asian SEA4_A1.2"
