"lineage","country","year_first","year_last","n_seqs","parent"
"Asian SEA4_A1","c(""Japan"", ""Philippines"")",1994,2020,170,"Asian_A1"
"Asian SEA4_A1.1","Philippines",2012,2016,36,"Asian SEA4_A1"
"Asian SEA4_A1.1.2","c(""Japan"", ""Philippines"")",2006,2019,193,"Asian SEA4_A1.1"
"Asian SEA4_A1.2","Philippines",1994,2019,206,"Asian SEA4_A1"
"Asian SEA5_A1.3","Taiwan",2013,2013,1,"Asian SEA5_A1"
"Indian-Sub_A1.1","India",1997,2014,1,"Indian-Sub_A1"
"Asian SEA5_A1","Taiwan",2013,2014,0,"Asian"
"Asian_A1","Taiwan",2012,2013,0,"Asian"
"Indian-Sub_A1","c(""China"", ""Nepal"")",2003,2018,0,"Indian-Sub"
"Asian","",NA,NA,0,"RABV"
"Indian-Sub","",NA,NA,0,"RABV"
