node	Albay	Aurora	Batangas	Benguet	Bulacan	Cagayan	Camarines Norte	Camarines Sur	Catanduanes	Cavite	Cebu	Davao del Sur	Ifugao	Ilocos Sur	Isabela	Kalinga	La Union	Laguna	Lanao del Norte	Metropolitan Manila	Misamis Oriental	Mountain Province	Negros Oriental	Nueva Ecija	Nueva Vizcaya	Oriental Mindoro	Palawan	Pampanga	Pangasinan	Quezon	Rizal	Romblon	Sorsogon	Tarlac	Zambales
root	0.02488589170001841	0.0059746854078446465	0.05592168080637034	0.0059710361122818	0.051869234694204625	0.021423014105894634	0.017885281393318023	0.014207622856942468	0.012184513756472351	0.06073465947022443	0.0066419516240546345	0.005994060099413057	0.023932664545043697	0.021940119904658665	0.006281301498980358	0.014228552613225373	0.023904521947720022	0.04104113993630703	0.011860621191774525	0.027144187992280844	0.022012464082414106	0.012707317998812782	0.0064835268961411585	0.12106031924903295	0.01781929011780536	0.01189374134383809	0.006208382320609652	0.18374478372820308	0.027765395182557218	0.01786878823434141	0.011881052898637785	0.02405398445526693	0.012054104512619308	0.042165836649960174	0.02825427067272999
n0	0.024390523446379916	0.005855573568104424	0.0731132793580245	0.0058526871873203785	0.050837192164270247	0.020982804514886547	0.017530480874057612	0.01392253507682793	0.011940142076636804	0.0595259266233688	0.006366620740758314	0.00585320593244096	0.023457347577857075	0.02145204373495008	0.006138944562946164	0.013945041883191843	0.02342530188669228	0.04017480057851635	0.01162553542906812	0.026564867019415475	0.021255698574807063	0.012438416715498751	0.006307954101212058	0.11865082270172515	0.017465528286374727	0.014272928258513066	0.006069351676335816	0.18006253389888416	0.026977748766455863	0.017514619906076275	0.011625567041406085	0.023576386373214804	0.011813643849959768	0.041329557189719916	0.02768438842410267
n33	0.02487479699096488	0.0059721049092615955	0.055872838241942537	0.005968142249397547	0.05184590712929001	0.02141974775522567	0.0178767526026754	0.014202327701641633	0.012179917516853284	0.0607074793570672	0.006704299701931812	0.00600121661112338	0.023921503459283833	0.02195376876662018	0.0062864065560339945	0.014222338359449757	0.023895410133212298	0.04104538154268856	0.011854873996752722	0.027149883286943594	0.02214803408366441	0.012708933349116979	0.006501862219892587	0.12100621995864246	0.017810916195508945	0.011894952251340461	0.006212664365857449	0.18367413837173496	0.027860235585073813	0.017860128125427907	0.011884420142619338	0.02404270821231013	0.012048966274789585	0.04214564349980364	0.02824508049585745
n00	0.02489873401582573	0.00597758190224791	0.056428231793695584	0.005974638057622909	0.051896457683545456	0.021419957079711338	0.017895757609313584	0.014212621678027957	0.01218892448126891	0.06076623319283939	0.006498722929917541	0.0059750820800474405	0.023946118303973425	0.021898827787079488	0.0062667908253224115	0.014235605179563285	0.02391338758073735	0.041011706958846685	0.011867773578044302	0.027118231768188845	0.021697354703440766	0.01269752657713777	0.006439208668170165	0.12112307914183212	0.01782945057738047	0.011946332905452701	0.006195755147161217	0.1838142920633271	0.027538956252152646	0.017879567334872837	0.011867728284365501	0.024067637957828025	0.012059795589759986	0.04219072800594769	0.028261202305351285
n22	0.009287900869394032	0.0022297996412791636	0.5690533669652893	0.0022287015030849127	0.019358781617481877	0.00799022312243838	0.006675601351935447	0.00530169210735902	0.0045467983439031285	0.022667447658406108	0.002424200278569985	0.002228867281379837	0.008932549449914654	0.008168855090178869	0.002337682501161334	0.005310265561543242	0.008920340034888138	0.015298475682183857	0.004427000356616393	0.010115833788313421	0.008093701952515894	0.004736520768058925	0.00240199921068351	0.045182182809130444	0.006650867038381945	0.08342515454213925	0.00231118426050766	0.06856770011069191	0.010272776691223435	0.006669561939889876	0.004426983593184838	0.008977879564928255	0.004498629767955166	0.01573828205779716	0.010542192487590682
n4	0.02484148588353204	0.0059638676309624146	0.055759354315656845	0.005960818368723458	0.0517770630216464	0.021372945761801543	0.017854413282855065	0.014180313491499655	0.012161196945924298	0.06062648036732317	0.008416691736405739	0.005964844533473255	0.02389088546589477	0.021856822003595837	0.0062551975405885085	0.014202920128762526	0.02385895539135866	0.04092543856333719	0.011840323096293884	0.027062218930587124	0.02169924666229085	0.012670924955414414	0.007057500091345954	0.12084454276168417	0.017788303385714667	0.011844723174251746	0.006396370041068256	0.18339567385175168	0.027513824325731396	0.01783821084501661	0.01184352731873032	0.02401210396659057	0.012032151209549716	0.04209322474200421	0.028197436208632878
n17	0.02483514347867508	0.0059629842056816975	0.0557453066554798	0.005957514282810211	0.05176228261543329	0.021415800111453154	0.017845587424007204	0.014184679658926277	0.012164517841105473	0.060610208260244186	0.006565684203804929	0.006038878794475511	0.02388100861684375	0.02203135771951684	0.006314371907227752	0.014200286848488591	0.023864743652904745	0.04108825193664889	0.01183376811005544	0.02719211931038374	0.02281131762254459	0.01272365795010983	0.006448788843948212	0.12081270700289108	0.017780458764149753	0.011918302535142299	0.006187514759760998	0.1834355042856387	0.028331025560198928	0.017828323111902678	0.01190710716662078	0.024001726704173425	0.012030891600335191	0.04207175666238695	0.028216421796030084
n1	0.02490906515950625	0.005980062145096129	0.05608905029282512	0.005977117132319117	0.05191799093163874	0.02142884372282549	0.01790318312673099	0.014218518695006678	0.01219398184709702	0.06079144672862046	0.006501408365401876	0.005977559635745485	0.02395605426536791	0.02190791022360133	0.0062693897443237305	0.014241511887025852	0.023923309616477546	0.04102871998569451	0.011872697909163071	0.027129480827281612	0.021706332897120047	0.012702793884373275	0.006441876872791467	0.12117333633448672	0.01783684856101754	0.011899036779941106	0.0061983247364168015	0.18389055956932063	0.0275503647420934	0.017886986157993424	0.011872651052102428	0.024077624351282006	0.01206479947819515	0.04220823429167023	0.028272928049446956
V1375PHIL	0.024910492977437422	0.005980404927591672	0.05604217364064767	0.0059774597533699195	0.051920966938816274	0.021430071903245657	0.017904209371960366	0.014219333693504706	0.012194680801427592	0.06079493137074855	0.0065017795065898006	0.005977902046862865	0.02395742746704634	0.021909165463691486	0.00626974892848253	0.014242328224799395	0.02392468089355815	0.04103107127472433	0.011873378477402908	0.027131035505909704	0.02170757373030568	0.012703521853701046	0.006442245632584186	0.12118028214059189	0.017837871000935025	0.011892500208756505	0.0061986798670517484	0.1839011001363673	0.027551941454896044	0.01788801147803624	0.011873331404274896	0.024079004522934013	0.012065491041671096	0.04221065375164865	0.028274548608428304
94275PHI	0.015316600596279139	0.00367714415861777	0.3710842806234249	0.0036753332636739766	0.03192440686530891	0.0131766102320238	0.011008679105150413	0.008742976539231158	0.007498087493099264	0.037380700689162855	0.003997721255152885	0.0036756055076726784	0.01473059356163442	0.013471188792160972	0.0038550520055632325	0.00875711505475473	0.01471045888546665	0.02522858731356533	0.007300529768648107	0.01668193591737587	0.01334724055942287	0.007810956445456661	0.003961114651045612	0.07450956443456444	0.010967889938789678	0.05582097254409552	0.0038113540727125316	0.11307442653723768	0.016940739032783182	0.010998719576345647	0.007300501090742626	0.014805347086748629	0.007418653160405069	0.025953871085391347	0.01738504215629128
n3	3.171333059468819e-05	7.613601171525002e-06	0.9987561623009126	7.609851702467119e-06	6.610012860531492e-05	2.7282436856492428e-05	2.2793692266456677e-05	1.8102509257256794e-05	1.552494138414238e-05	7.739749505724276e-05	8.277357245695937e-06	7.610414575862134e-06	3.04999912446612e-05	2.7892366323241198e-05	7.981962326122745e-06	1.8131783412482184e-05	3.045830182672744e-05	5.223629727599542e-05	1.5115894234040305e-05	3.454028348822358e-05	2.763571914765735e-05	1.617274234211919e-05	8.201566096920869e-06	0.00015427355663448242	2.270923746431712e-05	5.723349924685382e-05	7.89148494357352e-06	0.00023412288086261833	3.507613333199291e-05	2.2773070872311946e-05	1.5115834118314638e-05	3.0654769931731565e-05	1.536047104397899e-05	5.373801389517963e-05	3.599608030658194e-05
RV/R4B.PHL/2006/Z-06-197	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R4B.PHL/2006/Z-06-408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n44	0.024723288813171186	0.005935471776761193	0.05549090931839817	0.0059325107548924266	0.051530752616875626	0.021269781128512404	0.017769591003408605	0.01411259963981954	0.012103137680049503	0.06033804060285612	0.01213658678684354	0.00593416281088546	0.02377732641388343	0.02174734165715988	0.006223584523805296	0.014135311668082488	0.02374507151636501	0.04072543745290503	0.01178409377580045	0.026929289696823525	0.021561969731077386	0.01260893183660362	0.00825558921346966	0.12026958810948311	0.017703766296250235	0.011785580410829959	0.006224823134716897	0.1825204292000934	0.027357814791857286	0.017753498117199586	0.011785147150706447	0.023897982445703687	0.011974846427641923	0.041893269460304694	0.02806247403676316
n1616	3.791150843071689e-05	9.101633278958115e-06	8.508911561181813e-05	9.097150984037089e-06	7.901899723540137e-05	3.261462372239096e-05	2.7248580943382722e-05	2.1640534785021398e-05	1.855919691780046e-05	9.252436534419397e-05	9.89574693864773e-06	9.097824343844187e-06	3.6461029251366054e-05	3.3343761010270374e-05	9.541988754044501e-06	2.1675530353008345e-05	3.6411191986330656e-05	6.244556535901692e-05	1.8070203925471776e-05	4.129097293863095e-05	3.303695947584068e-05	1.9333606943293367e-05	9.804718895156935e-06	0.00018442538620565556	2.7147619969086423e-05	1.8070199058579033e-05	0.9984877548753641	0.0002798807763841507	4.193155561242308e-05	2.722392921644377e-05	1.8070132492361173e-05	3.664605848979845e-05	1.8362581820247106e-05	6.424078223700455e-05	4.3031295721353054e-05
RV/R4B.PHL/2006/Z-06-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1717	0.02480851162591245	0.005956847401261579	0.055674233152410275	0.0059504076523959745	0.05170614660329936	0.021412301423554332	0.0178247313056515	0.01417268689888168	0.012154062492407821	0.06054489354683929	0.006534128343553726	0.006062847943415847	0.023853877967485594	0.02208030824437169	0.0063320878757309	0.014185459329199328	0.023843939240276092	0.04111400521108421	0.011819655053791428	0.02721808592209862	0.023237184819763956	0.0127325654981032	0.006433325079962575	0.12068275822909563	0.017760061063586376	0.011880654465971294	0.00617749572855948	0.1832737143564232	0.028632757470525953	0.017807055969727863	0.011921175836850928	0.023974277437907438	0.0120187206067093	0.042022321281207156	0.028196714921983744
n11	0.02491153523640109	0.00598065514725955	0.05600795526458911	0.005977709855188618	0.051923139323746315	0.021430968433555315	0.017904958496387294	0.014219928614937944	0.012195191014529745	0.060797475042048056	0.006502050427147201	0.005978151995437193	0.023958429857986588	0.021910081746648144	0.006270011120811723	0.014242924123858414	0.02392568187960641	0.04103278763646288	0.011873875269278788	0.027132170368905792	0.021708479496707782	0.01270405324677336	0.006442514814803454	0.12118535234493204	0.017838617347612305	0.011887728732114364	0.006198939100445205	0.18390879439502938	0.027553092402096954	0.017888759927107943	0.011873828038428682	0.024080012001719955	0.012065995859698524	0.04221241987588213	0.028275731561861757
Z-14-149	0.024912948645790443	0.005980994470633393	0.055961551658867674	0.005978049018746941	0.05192608529913652	0.021432184220035896	0.017905974385466206	0.014220735389039965	0.012195882915501045	0.06080092451959984	0.006502417823037253	0.00597849095118058	0.023959789202272135	0.02191132431973147	0.006270366680334666	0.014243732223720934	0.023927039318715843	0.041035115197924694	0.011874548969698955	0.027133709358802213	0.021709707808270952	0.012704773869942787	0.006442879853329712	0.12119222805880979	0.017839629469779815	0.01188125812344387	0.006199290647349678	0.18391922859403054	0.027554653203814474	0.017889774900336462	0.011874501524961749	0.02408137824564308	0.012066680444398577	0.04221481492035901	0.028277335767292897
RV/R4A.PHL/2006/Z-06-345	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R4A.PHL/2006/Z-06-197	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n5	0.0003070324429015049	7.37110402591634e-05	0.0006891079783747499	7.367473725650837e-05	0.0006399480448550639	0.0002641348191746439	0.00022067700699512924	0.000175259356274656	0.00015030464486902526	0.0007493234393834854	0.987756441196186	7.36802677664522e-05	0.0002952855004246007	0.0002700399862260597	7.727738985516447e-05	0.00017554276652448838	0.0002948819009537347	0.0005057256181761634	0.00014634444660646036	0.00033440171581238995	0.00026755624047392426	0.00015657637834913353	7.953645856104648e-05	0.0014935986239134566	0.0002198593592842938	0.00014634450201000997	7.640656337215711e-05	0.0022666595271615413	0.00033959026368297847	0.00022047735995925943	0.00014634393810078692	0.0002967839889751817	0.0001487123213030768	0.000520264286884596	0.0003484958890931966
