parameter	value
pastml_version	1.9.43
character	Province
log_likelihood	-768.3861280635199
log_likelihood_restricted_JOINT	-865.6193723295141
log_likelihood_restricted_MAP	-876.7732994201018
log_likelihood_restricted_MPPA	-799.3281197478367
num_scenarios	38677954172767349701462709540677024834045711801674179988815579978588802680717143810746343711488501350400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
num_states_per_node_avg	3.813979706877114
num_unresolved_nodes	213
percentage_of_unresolved_nodes	24.013528748590755
method	MPPA
model	F81
num_nodes	887
num_tips	580
scaling_factor	0.09735996958304693
state_changes_per_avg_branch	0.43636067481571433
smoothing_factor	0
Albay	0.024914276786190296
Aurora	0.005981313323108027
Batangas	0.05591794751704791
Benguet	0.005978367721047529
Bulacan	0.05192885354799827
Cagayan	0.0214333266598378
Camarines Norte	0.01790692898739377
Camarines Sur	0.014221493491601622
Catanduanes	0.012196533075065276
Cavite	0.0608041658950497
Cebu	0.006502763054452924
Davao del Sur	0.0059788094582033735
Ifugao	0.023961066539239708
Ilocos Sur	0.02191249193013816
Isabela	0.0062707007894545015
Kalinga	0.014244491572061627
La Union	0.023928314865443577
Laguna	0.0410373023408955
Lanao del Norte	0.011875182026725712
Metropolitan Manila	0.027135155503614842
Misamis Oriental	0.021710862017534974
Mountain Province	0.012705451018935622
Negros Oriental	0.006443222869598062
Nueva Ecija	0.12119868897059417
Nueva Vizcaya	0.0178405805320484
Oriental Mindoro	0.011875177877442753
Palawan	0.006199620985926584
Pampanga	0.18392903331256302
Pangasinan	0.027556119844571902
Quezon	0.017890728641665677
Rizal	0.011875134381004954
Romblon	0.024082662066002746
Sorsogon	0.01206732372907183
Tarlac	0.04221706547519002
Zambales	0.028278843193279113
