state	colour
Albay	#cc7266
Antique	#9fcc33
Aurora	#99ccb1
Bataan	#668acc
Batangas	#b133cc
Benguet	#cc9999
Bukidnon	#cc5733
Bulacan	#b7cc99
Cagayan	#66cca2
Camarines Norte	#3357cc
Camarines Sur	#c999cc
Catanduanes	#ccab99
Cavite	#96cc66
Cebu	#33cc9f
Compostela Valley	#999fcc
Cotabato	#cc66c6
Davao Del Norte	#cc9666
Davao del Norte	#69cc33
Davao del Sur	#99ccc3
Davao del Sur 	#6666cc
Guimaras	#cc33b0
Ifugao	#cc8d33
Ilocos Sur	#a5cc99
Iloilo	#66ccc5
Isabela	#4433cc
Kalinga	#cc99bd
La Union	#ccbd99
Laguna	#72cc66
Lanao del Norte	#33c3cc
Metropolitan Manila	#a599cc
Metropolitan Manila 	#cc66a2
Misamis Oriental	#ccba66
Misamis Oriental 	#33cc33
Mountain Province	#99c3cc
Negros Oriental	#8966cc
Nueva Ecija	#cc337b
Nueva Vizcaya	#ccc333
Occidental Mindoro	#99cc9f
Oriental Mindoro	#66adcc
Palawan	#7b33cc
Pampanga	#cc99ab
Pangasinan	#c9cc99
Quezon	#66cc7e
Rizal	#338dcc
Romblon	#b799cc
Sorsogon	#cc667e
Tarlac	#bacc66
Zambales	#33cc69
Zamboanga Del Norte	#99b1cc
Zamboanga Del Sur	#ae66cc
Zamboanga Sibugay	#cc3345
