node	Albay	Antique	Aurora	Bataan	Batangas	Benguet	Bukidnon	Bulacan	Cagayan	Camarines Norte	Camarines Sur	Catanduanes	Cavite	Cebu	Compostela Valley	Cotabato	Davao Del Norte	Davao del Norte	Davao del Sur	Davao del Sur 	Guimaras	Ifugao	Ilocos Sur	Iloilo	Isabela	Kalinga	La Union	Laguna	Lanao del Norte	Metropolitan Manila	Metropolitan Manila 	Misamis Oriental	Misamis Oriental 	Mountain Province	Negros Oriental	Nueva Ecija	Nueva Vizcaya	Occidental Mindoro	Oriental Mindoro	Palawan	Pampanga	Pangasinan	Quezon	Rizal	Romblon	Sorsogon	Tarlac	Zambales	Zamboanga Del Norte	Zamboanga Del Sur	Zamboanga Sibugay
root	0.04878236948289221	0.001393742584013321	0.0013946023355299096	0.0013936853362862022	0.03631727177326684	0.0013936853362862022	0.002790234047527965	0.06691647854607576	0.0070104694372945826	0.00975938257759931	0.013950577790647437	0.006969066595021006	0.06413543591874334	0.039224705224642935	0.002789541620842166	0.002788337030605204	0.0013936853362862022	0.002801133531208604	0.06145210638676883	0.0013937601467781128	0.0013937389693603347	0.006971558291848347	0.008507558292029658	0.0042033816751014565	0.005594152387468838	0.004182525062558934	0.0069763108945550545	0.05354445411269594	0.002787401499051269	0.07817772893620846	0.0013936853362862022	0.06158255393171781	0.0027877301407508216	0.00976295218350593	0.02097474881471199	0.04183953300536274	0.0027873706763538683	0.0042270860500546	0.036267413263375604	0.0028123112925308147	0.09619802187580848	0.06561421052521485	0.015335512457372344	0.01117572777265289	0.041812304712987594	0.005575574405286812	0.011150595904154258	0.016728286652724134	0.0013936948804483009	0.002796509119090854	0.001395095840414519
n0	0.04875640944681938	0.0013930349316418676	0.0013931514149456848	0.001393027175442236	0.036229742212889805	0.001393027175442236	0.002786442294806047	0.06686795754030916	0.006970832033612605	0.009751675971570785	0.013932131206439281	0.006965222575806869	0.06408276054367441	0.040491426368314515	0.0027863484814815444	0.0027861852777559867	0.001393027175442236	0.002787919009699344	0.06131080219094322	0.0013930373111303849	0.001393422848809726	0.006965560162973609	0.008377868819068273	0.004343787198847687	0.005574738603894104	0.004179280560844483	0.006966204068630496	0.05301421154772805	0.002786058527405294	0.0780273177737084	0.001393027175442236	0.06132847585678525	0.0027861030533761146	0.009752159599085633	0.02140790747941418	0.041794740654502345	0.0027860543513968166	0.004185317899476632	0.03622298714023965	0.0029700516183638784	0.09612344550695741	0.06548731602598178	0.015323972798743212	0.01114777321454127	0.04179105163343963	0.005572221568795962	0.011144368227149561	0.016716876528394178	0.001393028468531595	0.0027872924719249776	0.0013932182773801272
n16	0.04863225138404638	0.001389378965972806	0.0013918649835074762	0.0013892134311052331	0.03635507500484161	0.0013892134311052331	0.002786706464177401	0.06673886826348568	0.007067636034749734	0.009734860883689331	0.01393181922869365	0.006947917499927687	0.06397873928284109	0.03896744364416818	0.0027847042753482783	0.0027812211381936084	0.0013892134311052331	0.0028182229047140745	0.0615011529482272	0.001389429749647376	0.0013892319197763158	0.006955122374690085	0.008755846274874628	0.004175336512609853	0.005612981792417952	0.004171888140731927	0.00696886477983422	0.05447996703860379	0.002778515998624324	0.07817575799960162	0.0013892134311052331	0.06187834900760026	0.0027794662836915173	0.009745182590257471	0.020862149100903216	0.04176017967300229	0.0027784268731447736	0.004300738621526393	0.0362109064544521	0.0027870245218925616	0.09595326946486372	0.06561399289370824	0.015295729630319287	0.01118959650945396	0.041681447608007446	0.005559262562417067	0.011116926366324392	0.01668230844863718	0.0013892410285608722	0.0028048511695203475	0.001393291979299734
n00	0.048542414914430225	0.0013869245752021959	0.0013869587287643661	0.0013869223010406888	0.03606321554233694	0.0013869223010406888	0.0027739583494289398	0.06657304835944322	0.006936281650412434	0.009708598530013525	0.01386976821223396	0.006934636925721084	0.06379945513846717	0.043881988555235986	0.0027739308428326513	0.0027738829905791097	0.0013869223010406888	0.002774391330571013	0.061029743562609595	0.0013869252728816652	0.0013882658609461597	0.0069347359081838485	0.008327311648186751	0.004209059535991248	0.005548460306310416	0.004160825261166137	0.006934924704956984	0.05272626313436032	0.0027738458266608522	0.07767286673095818	0.0013869223010406888	0.06103492558119414	0.002773858881926824	0.009708740332330707	0.022544093789055766	0.04160881997808761	0.0027738446022315937	0.004162595442930991	0.03606123491690666	0.0028277936394843365	0.09569897883930789	0.06518975760415258	0.015256342893606402	0.011096420992182568	0.04160773833628955	0.005547722297412134	0.011095422630659742	0.016643228999644297	0.001386922680181785	0.0027742076261590646	0.0013869783332075558
n14	0.04861035724847512	0.001388867008033327	0.0013888744689433763	0.0013888665112384655	0.03611123614030345	0.0013888665112384655	0.0027777578707994482	0.06666576247524078	0.006944697402562151	0.009722096691182803	0.013888784212751646	0.006944338109352308	0.06388808436744053	0.03898348520824426	0.0027777518619316426	0.0027777414085166413	0.0013888665112384655	0.002777852456346291	0.06111125421233463	0.0013888671604427264	0.0013888918546422608	0.006944359732257914	0.00833446124789678	0.0067303830444755495	0.00555563449367186	0.004166612282140143	0.006944400975269007	0.052781998939365006	0.002777733289988615	0.07777766448347845	0.0013888665112384655	0.06111238623406457	0.0027777361419360877	0.009722127668166365	0.020865823963331934	0.04166624676366698	0.002777733022509743	0.0041669989816842095	0.03611080346894375	0.005641806573607629	0.09583208201572628	0.06527768928201859	0.01527757478581818	0.011111159844316999	0.04166601047697684	0.005555473274236592	0.01111094175035994	0.016666433390190114	0.0013888665940625447	0.002777812325771134	0.0013888787515709622
n1616	0.03583677556270112	0.0010239072726471185	0.0010239203774082201	0.001023906400048731	0.05136525270516335	0.001023906400048731	0.002047856445085581	0.049147805687105334	0.005120172836881931	0.007167399448105965	0.010239273195055623	0.005119541754125518	0.05068384156923068	0.028669745391843277	0.002047845890772948	0.0020478275298082037	0.001023906400048731	0.0020480225804479658	0.04505386238904711	0.0010239075403475344	0.0010239064975096706	0.005119579733810372	0.006145655364893379	0.0030717597698983346	0.0040959214729761615	0.0030717415921948507	0.005119652175349429	0.25518415234573677	0.0020478132699700215	0.05960403775599135	0.001023906400048731	0.04505585073554006	0.0020478182792905836	0.007167453857818226	0.015358722237984894	0.030717633621099045	0.0020478128001551054	0.02168140171318353	0.026703454603888288	0.0020478581216909655	0.07065005578880412	0.048125292715339295	0.012571340206271089	0.008191651241015294	0.030717218593896527	0.004095638298112784	0.008191268168550385	0.012286938725022258	0.001023906545525609	0.002047952092853734	0.0010239278996556223
n3333	0.04839651535216664	0.0013824169377933836	0.0013898499308169984	0.0013819220018169954	0.036163372259728356	0.0013819220018169954	0.002788599349402887	0.06650155602100247	0.007273091206844777	0.009704450110384776	0.013937874738765019	0.006915142390428209	0.06372427158848692	0.038716928030594976	0.0027826129654006803	0.0027721986646929058	0.0013819220018169954	0.0028828309786534663	0.06192806625883161	0.001382568776906977	0.001381928153029301	0.006936684388060074	0.009548989684902275	0.004148326550695205	0.005695506428510378	0.004158466728502873	0.006977773077154033	0.0534473058625515	0.002764110514361836	0.07848005754836404	0.0013819220018169954	0.0630558522212151	0.002766951790489729	0.009735311185112365	0.02073679744591027	0.04170814578686101	0.002763844036326715	0.004190048045539438	0.03620157283388379	0.002766704459627894	0.09564426303002949	0.06590998361982794	0.015219271989596765	0.011282278218655347	0.04147274322767594	0.005534890239661953	0.01106500031961769	0.01661818743291688	0.0013820045159957544	0.0028428505629797367	0.0013941165337755539
n1	0.0028621459870413236	8.177559913489286e-05	8.17756099329273e-05	8.177559841589151e-05	0.002126166581821107	8.177559841589151e-05	0.00016355123279429077	0.003925228969907642	0.000408878520114725	0.0005724292339397929	0.0008177561565306257	0.00040887800011644033	0.003761677852552842	0.9437377826929247	0.00016355122409777005	0.00016355120896873962	8.177559841589151e-05	0.00016355136968616876	0.0035981279624239778	8.177559935547212e-05	8.177602319752704e-05	0.00040887803141086506	0.0004906554172253244	0.000245342063508891	0.000327102637456216	0.0002453268136982295	0.00040887809110109406	0.0031074800797079496	0.00016355119721894718	0.00457943516097929	8.177559841589151e-05	0.0035981296007776614	0.00016355120134651645	0.0005724292787721992	0.0012271841788592305	0.002453268316361589	0.00016355119683182984	0.00024532737336118305	0.0021261659556240085	0.0001635682534291678	0.005642516714373971	0.003843454519645968	0.0008995316450426392	0.0006542051169517907	0.0024532679743883173	0.00032710240412636905	0.0006542048013085188	0.000981307232015065	8.177559853576096e-05	0.00016355131160594445	8.177561613109356e-05
n8	0.0003811298180531653	1.0889423351376382e-05	1.0889423822068873e-05	1.0889423320034703e-05	0.00028312505091440514	1.0889423320034703e-05	2.1778848207695657e-05	0.0005226923300825411	5.444713961753408e-05	7.622596520306339e-05	0.00010889424071412863	5.4447116950510015e-05	0.0005009134869069189	0.0003049734250042503	2.177884782860932e-05	2.1778847169126205e-05	1.0889423320034703e-05	2.177885417489137e-05	0.0004791346972267815	1.0889423360991513e-05	0.0007763247332380564	5.444711831465177e-05	6.533661954841717e-05	3.266893551238411e-05	4.35577039072003e-05	3.266827076437439e-05	5.444712091658325e-05	0.0004137984061119533	2.1778846656945992e-05	0.0006098077778328471	1.0889423320034703e-05	0.0004791347686435596	2.1778846836869123e-05	7.622596715733363e-05	0.9916010069745406	0.00032668271546298835	2.1778846640071368e-05	3.2668295160404005e-05	0.00028312502361811285	2.1779590146950462e-05	0.0007513702275507391	0.0005118029568112092	0.00011978365924338963	8.711540092880548e-05	0.0003266827005561796	4.355769373621833e-05	8.711538716973389e-05	0.0001306730820645981	1.0889423325259875e-05	2.1778851643140897e-05	1.0889424092250487e-05
n1414	0.00020476652991989334	5.850472279717333e-06	5.850472360631897e-06	5.850472274329519e-06	0.0001521122867984285	5.850472274329519e-06	1.1700944818142424e-05	0.0002808226710107943	2.9252365328454558e-05	4.095330625772618e-05	5.8504724034954524e-05	2.9252361431872367e-05	0.0002691217270576918	0.00016381425638606486	1.1700944752975406e-05	1.1700944639606742e-05	5.850472274329519e-06	1.1700945843935166e-05	0.0002574207923007495	5.850472281370204e-06	5.850472549182057e-06	2.925236166637554e-05	3.5102847334490804e-05	0.9958285806484755	2.34018909241667e-05	1.755141696124691e-05	2.92523621136614e-05	0.00022231800142574217	1.1700944551560275e-05	0.0003276264597243206	5.850472274329519e-06	0.0002574208045776737	1.170094458249005e-05	4.0953306593675685e-05	8.775744012043862e-05	0.00017551417095663973	1.1700944548659422e-05	1.7551421155054426e-05	0.00015211228210605006	1.173200580401827e-05	0.00040368259010354403	0.000274972207340103	6.435519548572455e-05	4.6803780664662796e-05	0.00017551416839407862	2.340188917572051e-05	4.680377829940527e-05	7.020566767430264e-05	5.850472275227743e-06	1.1700945408713754e-05	5.850472407077534e-06
