parameter	value
pastml_version	1.9.43
character	Province
log_likelihood	-1336.945807208061
log_likelihood_restricted_JOINT	-1404.1039317842797
log_likelihood_restricted_MAP	-1423.4287219417126
log_likelihood_restricted_MPPA	-1357.2732420321856
num_scenarios	115733505779768002442949761570653882621660896044368541452861440000000000000
num_states_per_node_avg	1.5708191126279865
num_unresolved_nodes	102
percentage_of_unresolved_nodes	8.703071672354948
method	MPPA
model	F81
num_nodes	1172
num_tips	744
scaling_factor	0.08980983102755162
state_changes_per_avg_branch	0.4006405811732206
smoothing_factor	0
Albay	0.04888268156424581
Antique	0.0013966480446927375
Aurora	0.0013966480446927375
Bataan	0.0013966480446927375
Batangas	0.036312849162011177
Benguet	0.0013966480446927375
Bukidnon	0.002793296089385475
Bulacan	0.0670391061452514
Cagayan	0.006983240223463686
Camarines Norte	0.009776536312849162
Camarines Sur	0.013966480446927372
Catanduanes	0.006983240223463686
Cavite	0.06424581005586592
Cebu	0.03910614525139665
Compostela Valley	0.002793296089385475
Cotabato	0.002793296089385475
Davao Del Norte	0.0013966480446927375
Davao del Norte	0.002793296089385475
Davao del Sur	0.061452513966480445
Davao del Sur 	0.0013966480446927375
Guimaras	0.0013966480446927375
Ifugao	0.006983240223463686
Ilocos Sur	0.008379888268156424
Iloilo	0.004189944134078212
Isabela	0.00558659217877095
Kalinga	0.004189944134078212
La Union	0.006983240223463686
Laguna	0.05307262569832402
Lanao del Norte	0.002793296089385475
Metropolitan Manila	0.0782122905027933
Metropolitan Manila 	0.0013966480446927375
Misamis Oriental	0.061452513966480445
Misamis Oriental 	0.002793296089385475
Mountain Province	0.009776536312849162
Negros Oriental	0.02094972067039106
Nueva Ecija	0.04189944134078212
Nueva Vizcaya	0.002793296089385475
Occidental Mindoro	0.004189944134078212
Oriental Mindoro	0.036312849162011177
Palawan	0.002793296089385475
Pampanga	0.09636871508379888
Pangasinan	0.06564245810055866
Quezon	0.015363128491620111
Rizal	0.0111731843575419
Romblon	0.04189944134078212
Sorsogon	0.00558659217877095
Tarlac	0.0111731843575419
Zambales	0.01675977653631285
Zamboanga Del Norte	0.0013966480446927375
Zamboanga Del Sur	0.002793296089385475
Zamboanga Sibugay	0.0013966480446927375
