node	Bangsamoro	Bicol Region	Cagayan Valley	Calabarzon	Central Luzon	Central Visayas	Cordillera Administrative Region	Davao Region	Ilocos Region	Ilocos Region 	National Capital Region	Northern Mindanao	Southwestern Tagalog Region	Southwestern Tagalog Region 	Western Visayas	Zamboanga Peninsula
root	0.005019411783164087	0.028503803718103998	0.009600787551429735	0.2753620210738415	0.12686912448301968	0.05488956470459605	0.036413433861448574	0.03279143564375707	0.1572170334907985	0.014685367762204983	0.1281442489850493	0.031152563843806748	0.06932024309457192	0.00502362777206437	0.020150528196987302	0.004856804035156265
n0	0.004785424103930793	0.026413329121698255	0.006968940892469274	0.2447249689527071	0.11803841279094163	0.141018575226635	0.03445472888681658	0.02153979149038066	0.14436606876763924	0.014000787459303487	0.12132915704969466	0.018457595459372863	0.06904856655991415	0.004789443877077743	0.02543512120016475	0.00462908816125389
n16	0.004767377874321287	0.028057356684700115	0.011942630914447368	0.2845487640583984	0.12426934364824703	0.03398226788540098	0.034922782213258195	0.04371512805816281	0.15646194561923044	0.013947987197824729	0.122797740193582	0.04412328997034544	0.06921230412079543	0.004771381758087504	0.017865073294184988	0.004614626509013373
n00	0.0042316302347212825	0.023192368185011514	0.005691392071334859	0.21256523126422275	0.10374942249667511	0.26039506471790386	0.03041111205140121	0.01695021634477518	0.12646839294509934	0.012380544586796499	0.10710685553443304	0.013896962398796793	0.05602337168547771	0.004235184887884199	0.018609146477674556	0.004093104117792074
n14	0.005094047024761261	0.027792687238805805	0.006489015120598744	0.2529340596213247	0.12441006721981883	0.040713993424054885	0.03656564262536564	0.018792006529570176	0.15132705360406928	0.014903730589355313	0.12879593302274553	0.014864423408957543	0.10705181995575146	0.005098326178030255	0.06024012251554936	0.004927071921241265
n1616	0.0023212770816832262	0.012695775413468453	0.0030460804287345228	0.660898778298115	0.056810729555915256	0.005815045366885399	0.016673048776044152	0.008960006674811323	0.06918270567945757	0.006791395502742858	0.059671560495601246	0.007232286931171732	0.07738749456297943	0.002323227011478648	0.007945345672226631	0.0022452425486845975
n3333	0.0044351897842489765	0.027988388313262356	0.01651883571160889	0.2586761110471576	0.1228316827432884	0.02172158342278657	0.03313621069987356	0.06474353020256926	0.15923250191091762	0.012976097332686674	0.11623887073185536	0.06888612401502175	0.06795331435538837	0.004438913889597236	0.015926324145049773	0.004296321694687588
n1	1.733062573020804e-05	9.430196211516781e-05	2.13525562345571e-05	0.0008546156870806434	0.00042229298618775104	0.9970539693234868	0.00012431460004638084	6.071041923503814e-05	0.0005130046052251453	5.070447468337829e-05	0.00043790201999765896	4.6844579280914375e-05	0.00020853317590799225	1.7345184084726674e-05	6.001568013507722e-05	1.6762120568668598e-05
n8	4.326755146621248e-06	2.353809286229329e-05	5.315708295671899e-06	0.00021323937054958775	0.00010540920882751766	0.9989806110063608	3.103450630272431e-05	1.508945005110614e-05	0.00012803814158710903	1.2658853195522016e-05	0.0001093205540773475	1.1617163988226558e-05	5.19002635337311e-05	4.330389780171381e-06	0.0002993857220834511	4.18481335812667e-06
n1414	1.9987007959829034e-05	0.00010871718673779445	2.4513357274542088e-05	0.000984695278291181	0.00048687107751927523	4.8276845520215566e-05	0.00014335573877258479	6.951714468453113e-05	0.000591353021178602	5.847629252984868e-05	0.0005049790599587217	5.344803496786436e-05	0.0002466471375157396	2.000379778818712e-05	0.9966198277222529	1.933129704818407e-05
