tip,date,group
153,2018.372603,Albay
04030PHI,2004,NA
18-092,2018,Davao del Sur
18-094,2018,Davao del Sur
18-096,2018,Davao del Sur
18-099,2018,Davao del Sur
18-101,2018,Davao del Sur
18-102,2018,Davao del Sur
18-103,2018,Davao del Sur
18-106,2018,Davao del Sur
18-107,2018,Compostela Valley
18-114,2018,Davao del Sur
18-116,2018,Davao del Sur
18-118,2018,Davao del Sur
18-120,2018,Davao del Sur
18-121,2018,Davao del Sur
18-130,2018,Davao del Sur
18-133,2018,Davao del Sur 
18-135,2018,Davao del Sur
18-138,2018,Davao del Sur
18-142,2018,Compostela Valley
18-144,2018,Davao del Sur
18-147,2018,Davao del Sur
18-151,2018,Davao del Sur
18-153,2018,Davao del Sur
18-162,2018,Davao del Norte
18-163,2018,Davao del Sur
18-164,2018,Davao del Sur
18-172,2018,Davao del Sur
18-174,2018,Davao del Sur
18-179,2018,Cotabato
18-181,2018,Davao del Sur
18-183,2018,Davao del Sur
18-188,2018,Davao del Sur
18-191,2018,Davao del Sur
18-194,2018,Davao del Sur
18-196,2018,Davao del Sur
18-199,2018,Davao del Sur
18-209,2018,Davao del Sur
18-214,2018,Davao del Sur
18-216,2018,Davao del Sur
18-221,2018,Davao del Sur
18-223,2018,Davao del Sur
18-224,2018,Davao del Sur
18-225,2018,Davao del Sur
19-004,2019,Davao del Sur
19-011,2019,Davao del Sur
19-015,2019,Davao del Sur
19-022,2019,Davao del Sur
19-045,2019,Davao del Sur
19-050,2019,Davao del Norte
4A-22-104,2022.065753,Batangas
4A-22-171,2022.416438,Cavite
4A-22-203,2022.835616,Quezon
4A-22-40,2022.747945,Batangas
4A-22-98,2022.057534,Quezon
4B-21-126,2021.068493,Oriental Mindoro
4B-21-29,2021.668493,Oriental Mindoro
4B-21-310,2021.753425,Oriental Mindoro
4B-21-35,2021.334247,Oriental Mindoro
4B-21-412,2021.923288,Oriental Mindoro
4B-21-421,2021.282192,Oriental Mindoro
4B-21-423,2021.306849,Oriental Mindoro
4B-21-528,2021.40274,Oriental Mindoro
4B-21622,2022.126027,Oriental Mindoro
4B-22-114,2022.035616,Oriental Mindoro
4B-22-13,2022.30411,Oriental Mindoro
4B-22-15,2022.328767,Oriental Mindoro
4B-22-16,2022.320548,Oriental Mindoro
4B-22-17,2022.591781,Oriental Mindoro
4B-22-20,2022.378082,Oriental Mindoro
4B-22-21,2022.410959,Oriental Mindoro
4B-22-28,2022.567123,Oriental Mindoro
4B-22-30,2022.934247,Oriental Mindoro
4B-22-31,2022.627397,Oriental Mindoro
4B-22-35,2022.813699,Oriental Mindoro
4B-22-37,2022.024658,Romblon
4B-22-39,2022.80274,Romblon
4B-22-40,2022.115068,Oriental Mindoro
4B-22-41,2022.89589,Romblon
4B-22-42,2022.90137,Romblon
4B-22-44,2022.863014,Romblon
4B-22-45,2022.945205,Romblon
4B-23-01,2023.052055,Romblon
4B-23-02,2023.032877,Romblon
4B-23-03,2023.057534,Romblon
4B-23-04,2023.082192,Romblon
4B-23-05,2023.052055,Romblon
4B-23-06,2023.087671,Romblon
4B-23-07,2023.49863,Romblon
4B-23-11,2023.49863,Romblon
4B-23-12,2023.120548,Romblon
4B-23-13,2023.668493,Romblon
4B-23-15,2023.126027,Romblon
4B-23-16,2023.158904,Romblon
4B-23-17,2023.005479,Romblon
4B-23-19,2023.005479,Romblon
4B-2422,2022.249315,Occidental Mindoro
4B-2922HM,2022.668493,Oriental Mindoro
4B-2922JG,2022.668493,Oriental Mindoro
94272PHI,1994,
94275PHI,1994,
94278PHI,1994,
94281PHI,1994,
BAI/BAI3/2019-01/fel,2019,Bulacan
BAI/BAI4A/2019-01/can,2019,Rizal
BAI/BAINCR/2019-01/can,2019,Metropolitan Manila
BAI/BAINCR/2019-02/can,2019,Metropolitan Manila
BAI/BAINCR/2019-03/can,2019,Metropolitan Manila
R1-21-148,2021.756164,Pangasinan
R10-688,2021.10137,Bukidnon
R10-711,2021.931507,Misamis Oriental
R10-714,2021.849315,Misamis Oriental 
R10-824,2021.687671,Misamis Oriental 
R10-856,2021.736986,Misamis Oriental
R10-907,2021.813699,Misamis Oriental
R10-920,2021.816438,Bukidnon
R10-989,2021.89863,Misamis Oriental
R10-990,2021.89863,Misamis Oriental
R11-21-61,2021.852055,Misamis Oriental
R11-21-63,2021.271233,Cotabato
R11-22-002,2022.328767,Davao Del Norte
R2-081,2020.663934,Cagayan
R3-731,2021.69589,Nueva Ecija
R5-09,2022.49863,Albay
R5-21-115,2021.739726,Camarines Norte
R5-21-119,2021.786301,Sorsogon
R5-21-128,2021.693151,Camarines Sur
R5-21-132,2021.871233,Albay
R5-21-136,2021.115068,Albay
R5-21-140,2021.778082,Camarines Norte
R5-22-008,2022.087671,Albay
R6-21-4375,2021.024658,Iloilo
R6-21-4511,2021.605479,Antique
R6-21-4600,2021.783562,Iloilo
R6-4342,2021.745205,Iloilo
R6-4568,2021.780822,Guimaras
R7-21-161,2021.794521,Cebu
R9-010,2020.071038,Zamboanga Del Sur
R9-074,2021.632877,Zamboanga Del Sur
R9-089,2021.520548,Zamboanga Sibugay
R9-105,2021.69589,Zamboanga Del Norte
RADDL1-16-153,2016.543716,Pangasinan
RADDL1-16-154,2016,Pangasinan
RADDL1-16-166,2016.685792,Pangasinan
RADDL3-1038,2015,Pampanga
RADDL3-1045,2015.808219,Bataan
RADDL3-15-172,2015.917808,Nueva Ecija
RADDL3-16-1008,2016.819672,Nueva Ecija
RADDL3-16-468,2016.013661,Pampanga
RADDL3-16-521,2016.453552,Bulacan
RADDL3-16-627,2016.568306,Bulacan
RADDL3-845,2015.106849,Pampanga
RADDL5-005,2015.079452,Camarines Sur
REGION_5_2018-100,2018,Albay
REGION_5_2018-304,2018,Albay
REGION_5_2018-311,2018,Albay
REGION_5_2018-50,2018,Albay
REGION_5_2019-1,2019,Albay
REGION_5_2019-13,2019,Albay
Z-04-664,2004.953552,Metropolitan Manila
Z-05-102,2005.139726,Metropolitan Manila
Z-05-191,2005.756164,Metropolitan Manila
Z-05-557,2005.191781,Metropolitan Manila
Z-05-96,2005.128767,Metropolitan Manila
Z-06-150,2006.309589,Batangas
Z-06-295,2006.553425,Batangas
Z-06-39,2006.068493,Batangas
Z-07-07,2007.580822,Cavite
Z-07-22,2007.060274,Cavite
Z-07-351,2007.813699,Metropolitan Manila
Z-07-366,2007.942466,Batangas
Z-07-38,2007.09589,Cavite
Z-07-387,2007.526027,Quezon
Z-07-398,2007.964384,Laguna
Z-07-403,2007.972603,Quezon
Z-07-407,2007.983562,Metropolitan Manila
Z-08-351,2008.945355,Cavite
Z-08-359,2008.980874,Laguna
Z-09-94,2009.589041,Metropolitan Manila
Z-12-001,2012,Laguna
Z-12-012,2012.040984,Batangas
Z-12-029,2012.166667,Metropolitan Manila
Z-12-060,2012.150273,Cavite
Z-12-088,2012,Metropolitan Manila
Z-12-118,2012,Cavite
Z-12-134,2012,Cavite
Z-12-149,2012.489071,Oriental Mindoro
Z-12-208,2012.10929,Metropolitan Manila
Z-12-212,2012,Batangas
Z-13-002,2013,Metropolitan Manila
Z-13-009,2013,Cavite
Z-13-020,2013.087671,Metropolitan Manila
Z-13-032,2013.120548,Metropolitan Manila
Z-13-036,2013.150685,Metropolitan Manila
Z-13-065,2013.254795,Batangas
Z-13-066,2013.336986,Cavite
Z-13-071,2013.756164,Metropolitan Manila
Z-13-073,2013.923288,Metropolitan Manila
Z-13-081,2013.312329,Laguna
Z-13-086,2013.172603,Rizal
Z-13-089,2013.257534,Cavite
Z-13-094,2013.758904,Cavite
Z-13-096,2013.926027,Metropolitan Manila
Z-13-098,2013.361644,Metropolitan Manila
Z-13-134,2013.761644,Metropolitan Manila
Z-13-135,2013.928767,Cavite
Z-13-161,2013.547945,Laguna
Z-13-171,2013.347945,Batangas
Z-13-184,2013.657534,Batangas
Z-13-204,2013.734247,Laguna
Z-13-216,2013.813699,Occidental Mindoro
Z-13-234,2013.871233,Laguna
Z-13-259,2013.961644,Cavite
Z-14-023,2014.082192,Laguna
Z-14-033,2014.49863,Quezon
Z-14-05,2014.328767,Cavite
Z-14-058,2014.19726,Rizal
Z-14-098,2014.323288,Batangas
Z-14-101,2014.257534,Metropolitan Manila
Z-14-106,2014.591781,Cavite
Z-14-126,2014.410959,Metropolitan Manila
Z-14-136,2014.846575,Cavite
Z-14-138,2014,Metropolitan Manila 
Z-14-142,2014.468493,Laguna
Z-14-146,2014,Batangas
Z-14-149,2014,Laguna
Z-14-182,2014.632877,Bulacan
Z-14-243,2014.865753,Laguna
Z-15-001,2015,Rizal
Z-15-009,2015.041096,Metropolitan Manila
Z-15-019,2015,Metropolitan Manila
Z-15-116,2015,Laguna
Z-15-130,2015,Cavite
Z-15-148,2015,Metropolitan Manila
Z-15-163,2015.350685,Cavite
Z-16-013,2016,Laguna
Z-16-082,2016.393443,Laguna
Z-16-150,2016.352459,Metropolitan Manila
Z-16-151,2016.352459,Cavite
Z-16-159,2016,Cavite
Z-16-186,2016,Rizal
Z-16-196,2016.893443,Cavite
Z-16-209,2016.95082,Quezon
Z-16-210,2016.956284,Metropolitan Manila
Z-16-211,2016.964481,Laguna
Z-17-046,2017.419178,Batangas
Z-17-174,2017.726027,Metropolitan Manila
Z-17-177,2017.731507,Cavite
Z-17-193,2017.780822,Quezon
