tip,date,group
04030PHI,2004,NA
18-092,2018,NA
18-094,2018,NA
18-096,2018,NA
18-099,2018,NA
18-101,2018,NA
18-102,2018,NA
18-103,2018,NA
18-106,2018,NA
18-107,2018,NA
18-114,2018,NA
18-116,2018,NA
18-118,2018,NA
18-120,2018,NA
18-121,2018,NA
18-130,2018,NA
18-133,2018,NA
18-135,2018,NA
18-138,2018,NA
18-142,2018,NA
18-144,2018,NA
18-147,2018,NA
18-151,2018,NA
18-153,2018,NA
18-162,2018,NA
18-163,2018,NA
18-164,2018,NA
18-172,2018,NA
18-174,2018,NA
18-179,2018,NA
18-181,2018,NA
18-183,2018,NA
18-188,2018,NA
18-191,2018,NA
18-194,2018,NA
18-196,2018,NA
18-199,2018,NA
18-209,2018,NA
18-214,2018,NA
18-216,2018,NA
18-221,2018,NA
18-223,2018,NA
18-224,2018,NA
18-225,2018,NA
19-004,2019,NA
19-011,2019,NA
19-015,2019,NA
19-022,2019,NA
19-045,2019,NA
19-050,2019,NA
4A-22-203,2022.11232876712,Quezon
4B-22-37,2022.74794520548,Romblon
4B-22-39,2022.80273972603,Romblon
4B-22-41,2022.89589041096,Romblon
4B-22-42,2022.90136986301,Romblon
4B-22-44,2022.94246575342,Romblon
4B-22-45,2022.94520547945,Romblon
4B-23-01,2023.05205479452,Romblon
4B-23-02,2023.03287671233,Romblon
4B-23-03,2023.05753424658,Romblon
4B-23-04,2023.08219178082,Romblon
4B-23-05,2023.05205479452,Romblon
4B-23-06,2023.08767123288,Romblon
4B-23-07,2023.10136986301,Romblon
4B-23-11,2023.10136986301,Romblon
4B-23-12,2023.12054794521,Romblon
4B-23-13,2023.10684931507,Romblon
4B-23-15,2023.12602739726,Romblon
4B-23-16,2023.15890410959,Romblon
4B-23-17,2023.16164383562,Romblon
4B-23-19,2023.16164383562,Romblon
94272PHI,1994,NA
94275PHI,1994,NA
94278PHI,1994,NA
94281PHI,1994,NA
BAI/BAI3/2019-01/fel,2019,Bulacan
BAI/BAI4A/2019-01/can,2019,Rizal
BAI/BAINCR/2019-01/can,2019,NA
BAI/BAINCR/2019-02/can,2019,NA
BAI/BAINCR/2019-03/can,2019,NA
RADDL1-16-154,2016,NA
RADDL3-1038,2015,NA
RADDL3-1045,2015,NA
RADDL3-15-172,2015,NA
RADDL3-845,2016,NA
RADDL5-005,2015,NA
REGION_5_2018-100,2018,NA
REGION_5_2018-304,2018,NA
REGION_5_2018-311,2018,NA
REGION_5_2018-50,2018,NA
REGION_5_2019-1,2019,NA
REGION_5_2019-13,2019,NA
Z-12-001,2012,NA
Z-12-088,2012,NA
Z-12-118,2012,NA
Z-12-134,2012,NA
Z-12-149,2012,NA
Z-12-212,2012,NA
Z-13-002,2013,NA
Z-13-009,2013,NA
Z-13-032,2013,NA
Z-13-071,2013,NA
Z-13-094,2013,NA
Z-13-096,2013,NA
Z-14-033,2014,NA
Z-14-098,2014.32328767123,Batangas
Z-14-136,2014,NA
Z-14-138,2014,NA
Z-14-146,2014,NA
Z-14-149,2014,NA
Z-15-001,2015,NA
Z-15-019,2015,NA
Z-15-116,2015,NA
Z-15-130,2015,NA
Z-15-148,2015,NA
Z-16-013,2016,NA
Z-16-082,2016.39344262295,Laguna
Z-16-159,2016,NA
Z-16-186,2016,NA
Z-16-210,2017,NA
Z-16-211,2019,NA
Z-17-046,2017.17534246575,Batangas
Z-18-224,2018.82191780822,Metropolitan Manila
Z-22-103,2022.88767123288,Romblon
Z-22-119,2022.98904109589,Romblon
Z-22-121,2022.96438356164,Romblon
Z12-012,2012,NA
Z14-142,2014,NA
Z14-152,2014,NA
Z15-185,2015,NA
