"Sample.ID","X","X.1","Region","Province","year","country","assignment","NCBI.accession","Sample.collection.date","Host.species","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak"
"153",NA,NA,"Bicol Region","Albay",2018,"Philippines","SEA4",NA,"17/05/2018","Canis familiaris",NA,"Paulog","Ligao","this paper","5/17/18",2018.372603,"Other"
"04030PHI",NA,NA,NA,NA,2004,"Philippines","SEA4","EU086155","2004","Homo sapiens",NA,NA,"-","rabv-glue","01/01/2004",2004,"Other"
"18-092",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326757","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-094",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326761","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-096",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326764","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-099",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326750","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-101",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326755","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-102",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326752","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-103",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326754","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-106",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326751","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-107",NA,NA,"Davao Region","Compostela Valley",2018,"Philippines","SEA4","OQ326749","2018","Canine","Compostela Valley",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-114",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326756","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-116",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326753","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-118",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326758","2018","Canine","Digos Cogon",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-120",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326762","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-121",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326766","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-130",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326759","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
