id_case,id_progen,links,t_diff_median_days,dist_diff_meters,prob,scenario
9,,1000,,,1,1
4,9,1000,17,0,1,1
2,1,761,3,20530.1205158694,0.761,1
3,1,1000,6,0,1,1
5,1,472,11,10528.1831983032,0.472,1
6,4,568,38,2535.71856193369,0.568,1
7,5,913,17,0,0.913,1
15,5,751,18,0,0.751,1
10,2,993,29,2411.97395529211,0.993,1
14,7,420,15,1159.93288674326,0.42,1
13,3,504,40,0,0.504,1
16,10,978,21,0,0.978,1
17,15,278,33,0,0.278,1
20,23,895,10,0,0.895,1
18,16,736,17,2817.93651238023,0.736,1
21,18,949,10,0,0.949,1
22,16,627,28,0,0.627,1
23,13,495,13,1893.50318128421,0.495,1
28,45,483,45,0,0.483,1
33,20,531,25,0,0.531,1
30,17,344,40,1241.94210276506,0.344,1
31,17,213,23,5012.23495375645,0.213,1
34,30,359,6,1241.94210276506,0.359,1
35,30,871,7,0,0.871,1
37,21,485,30,2193.55162714132,0.485,1
39,35,436,9,1984.31854577717,0.436,1
38,34,320,14,4545.81426775876,0.32,1
42,38,137,22,18963.2064930177,0.137,1
43,42,961,8,4677.23007578044,0.961,1
44,41,370,23,4299.34607887807,0.37,1
48,41,470,57,2445.1682977298,0.47,1
59,53,449,9,4817.32916290832,0.449,1
56,53,576,12,12723.7144807407,0.576,1
58,56,517,30,8521.82323949562,0.517,1
62,43,629,130,9003.42045404616,0.629,1
61,62,1000,8,0,1,1
63,33,388,207,0,0.388,1
65,63,917,18,6281.18404371179,0.917,1
45,75,964,14,0,0.964,1
46,14,751,7,0,0.751,1
1,4,688,26,14521.9696089041,0.688,1
29,22,211,6,11541.1369044193,0.211,1
40,21,456,55,0,0.456,1
41,37,226,23,8204.73935283055,0.226,1
53,41,504,88,0,0.504,1
75,3,345,24,4820.3580457572,0.345,1
9,,1000,,,1,2
4,9,1000,17,1543.60695988611,1,2
2,1,726,3,20739.6826079636,0.726,2
3,1,991,6,1147.81695583796,0.991,2
5,1,452,11,11476.8421957676,0.452,2
6,4,583,38,2443.00131740967,0.583,2
7,5,908,17,646.167687157986,0.908,2
15,5,749,18,616.165266981129,0.749,2
10,2,995,29,2240.01281661631,0.995,2
14,15,416,14,1274.89047178105,0.416,2
13,3,364,40,911.550121464094,0.364,2
16,10,889,21,1060.6840885865,0.889,2
17,46,320,12,1129.80175722465,0.32,2
20,23,660,10,975.279950726952,0.66,2
18,16,696,17,2546.1493288346,0.696,2
21,18,777,10,946.372894545174,0.777,2
22,16,378,28,853.639010662108,0.378,2
23,13,417,13,2344.74393791092,0.417,2
28,20,315,20,2605.85693442237,0.315,2
33,20,352,25,921.621922419747,0.352,2
30,17,354,40,1143.77762167944,0.354,2
31,17,251,23,4735.8926600524,0.251,2
34,30,507,6,1118.73568002591,0.507,2
35,30,632,7,735.414866761897,0.632,2
37,21,449,30,2157.00192582667,0.449,2
39,35,383,9,2188.35833342522,0.383,2
38,34,323,14,3912.32202103912,0.323,2
42,38,133,22,19231.190766325,0.133,2
43,42,940,8,5442.4437725387,0.94,2
44,40,381,24,5282.58873000287,0.381,2
48,41,523,57,1815.53822722989,0.523,2
59,53,455,9,5603.36586701174,0.455,2
56,53,483,11,13811.2468106538,0.483,2
58,56,589,30,7844.95229711008,0.589,2
62,43,650,130,8263.26720968301,0.65,2
61,62,1000,8,1696.08653179464,1,2
63,33,232,207,713.702809779659,0.232,2
65,63,901,18,7011.74961192185,0.901,2
45,75,808,14,1719.65411266498,0.808,2
46,14,527,7,660.417979709449,0.527,2
1,4,694,26,14566.9613887202,0.694,2
29,22,210,7,11738.6337607289,0.21,2
40,37,416,24,1985.7283601995,0.416,2
41,37,274,24,8004.49570016817,0.274,2
53,48,789,30,2100.45781351621,0.789,2
75,3,376,24,4701.13712329859,0.376,2
9,,1000,,,1,3
4,9,1000,17,0,1,3
6,4,566,38,2535.71856193369,0.566,3
7,5,789,17,0,0.789,3
10,2,946,29,2411.97395529211,0.946,3
13,3,528,40,0,0.528,3
17,15,423,33,0,0.423,3
20,23,905,10,0,0.905,3
22,16,634,28,0,0.634,3
23,13,688,13,1893.50318128421,0.688,3
33,20,552,25,0,0.552,3
37,21,956,30,2193.55162714132,0.956,3
39,35,410,9,1984.31854577717,0.41,3
38,34,312,14,4545.81426775876,0.312,3
42,38,134,22,18963.2064930177,0.134,3
43,42,968,8,4677.23007578044,0.968,3
44,41,406,23,4299.34607887807,0.406,3
48,41,466,58,2445.1682977298,0.466,3
59,53,420,9,4817.32916290832,0.42,3
56,53,560,12,12723.7144807407,0.56,3
58,56,522,30,8521.82323949562,0.522,3
62,43,619,130,9003.42045404616,0.619,3
61,62,1000,8,0,1,3
63,33,354,207,0,0.354,3
65,63,919,18,6281.18404371179,0.919,3
46,14,720,7,0,0.72,3
1,4,687,26,14521.9696089041,0.687,3
40,21,440,55,0,0.44,3
41,37,231,24,8204.73935283055,0.231,3
53,48,478,29,2445.1682977298,0.478,3
16,10,889,21,0,0.889,3
18,16,673,17,2817.93651238023,0.673,3
30,17,403,40,1241.94210276506,0.403,3
75,3,322,24,4820.3580457572,0.322,3
34,14,432,65,1159.93288674326,0.432,3
14,,855,,,0.855,3
28,75,498,59,0,0.498,3
2,,975,,,0.975,3
31,17,300,23,5012.23495375645,0.3,3
45,,997,,,0.997,3
3,1,989,6,0,0.989,3
15,5,764,18,0,0.764,3
29,,907,,,0.907,3
5,1,488,11,10528.1831983032,0.488,3
21,14,532,36,31360.4866306737,0.532,3
35,34,529,2,1241.94210276506,0.529,3
9,,1000,,,1,4
4,9,1000,17,1606.71111591685,1,4
5,1,463,11,11593.7357608192,0.463,4
6,4,554,38,2530.23659189557,0.554,4
7,5,791,17,640.809458417848,0.791,4
10,2,940,29,2265.06310571598,0.94,4
13,3,408,40,904.867347931298,0.408,4
18,16,599,17,2574.88031701781,0.599,4
28,20,404,20,2583.9187899447,0.404,4
33,20,364,25,838.644339547774,0.364,4
31,17,336,23,4687.76412129568,0.336,4
39,35,391,9,2150.53504808039,0.391,4
38,34,334,14,3945.99899791296,0.334,4
42,38,124,22,19191.4304913425,0.124,4
43,42,962,8,5431.456002418,0.962,4
44,40,383,23,5296.38418765961,0.383,4
48,41,544,58,1931.36017432917,0.544,4
59,53,454,9,5622.29704466025,0.454,4
56,53,509,11,13741.0274120221,0.509,4
58,56,625,30,7859.29703821324,0.625,4
62,43,662,130,8180.11374237705,0.662,4
61,62,999,8,1658.53014092982,0.999,4
63,33,228,207,932.663019319483,0.228,4
65,63,927,18,7006.67217763649,0.927,4
46,14,478,7,586.241478937149,0.478,4
40,37,425,25,1909.5558175712,0.425,4
41,37,268,23.5,8002.3979005257,0.268,4
53,48,773,30,2077.48728503627,0.773,4
14,,856,,,0.856,4
75,3,343,24,4742.84519092295,0.343,4
35,34,495,2,1230.51506759708,0.495,4
15,5,750,18,613.003784622744,0.75,4
3,1,986,6,1189.48439338466,0.986,4
45,,979,,,0.979,4
34,14,542,65,1296.58391425004,0.542,4
37,21,936,30,2195.75798573078,0.936,4
29,,905,,,0.905,4
16,10,760,21,1172.06256122841,0.76,4
17,15,312,33,489.033530323452,0.312,4
23,13,586,13,2478.69579733759,0.586,4
22,16,423,28,1060.68340636452,0.423,4
30,17,417,40,1120.72073834333,0.417,4
2,,965,,,0.965,4
1,4,689,26,14500.0580178751,0.689,4
21,14,577,36,31139.4100103605,0.577,4
20,23,718,10,960.858269429463,0.718,4
9,,1000,,,1,5
4,9,1000,17,0,1,5
2,1,730,3,20530.1205158694,0.73,5
3,1,999,6,0,0.999,5
5,1,472,11,10528.1831983032,0.472,5
6,4,580,38,2535.71856193369,0.58,5
7,5,921,17,0,0.921,5
15,5,745,18,0,0.745,5
10,2,995,29,2411.97395529211,0.995,5
14,15,436,14,1159.93288674326,0.436,5
13,3,512,40,0,0.512,5
16,10,964,21,0,0.964,5
17,7,277,34,0,0.277,5
20,23,879,10,0,0.879,5
18,16,728,17,2817.93651238023,0.728,5
21,18,971,10,0,0.971,5
22,16,602,28,0,0.602,5
23,13,527,13,1893.50318128421,0.527,5
28,45,470,45,0,0.47,5
33,20,541,25,0,0.541,5
30,17,339,40,1241.94210276506,0.339,5
31,17,230,23,5012.23495375645,0.23,5
34,30,382,6,1241.94210276506,0.382,5
35,30,872,7,0,0.872,5
37,21,486,30,2193.55162714132,0.486,5
39,35,442,9,1984.31854577717,0.442,5
38,34,321,14,4545.81426775876,0.321,5
42,38,158,22,18963.2064930177,0.158,5
43,42,972,8,4677.23007578044,0.972,5
44,41,393,23,4299.34607887807,0.393,5
48,41,464,57,2445.1682977298,0.464,5
59,53,527,9,4817.32916290832,0.527,5
56,53,567,12,12723.7144807407,0.567,5
58,56,531,30,8521.82323949562,0.531,5
62,43,633,130,9003.42045404616,0.633,5
61,62,1000,8,0,1,5
63,56,563,67,10913.3403803167,0.563,5
65,63,937,18,6281.18404371179,0.937,5
45,75,968,14,0,0.968,5
46,14,776,7,0,0.776,5
1,4,696,26,14521.9696089041,0.696,5
29,22,217,8,11541.1369044193,0.217,5
40,21,438,55.5,0,0.438,5
41,37,207,25,8204.73935283055,0.207,5
53,41,483,88,0,0.483,5
75,3,334,24,4820.3580457572,0.334,5
9,,1000,,,1,6
4,9,1000,17,1551.08664582241,1,6
2,1,739,3,20730.9544307471,0.739,6
3,1,994,6,1118.68653935444,0.994,6
5,1,466,11,11574.3503822279,0.466,6
6,4,539,38,2438.68424688893,0.539,6
7,5,900,17,616.166151440479,0.9,6
15,5,750,18,625.153722431671,0.75,6
10,2,988,29,2331.13346646115,0.988,6
14,7,418,15,1240.15334523356,0.418,6
13,3,356,40,860.862903326621,0.356,6
16,10,912,21,1097.93851980642,0.912,6
17,46,337,12,1234.09041980028,0.337,6
20,23,631,10,939.261778105071,0.631,6
18,16,696,17,2589.07359361528,0.696,6
21,18,814,10,999.813225951024,0.814,6
22,16,368,28,921.628872117939,0.368,6
23,13,386,13,2278.58008255739,0.386,6
28,20,310,20,2547.05322006663,0.31,6
33,20,391,25,872.848330687368,0.391,6
30,17,343,40,1118.72909306339,0.343,6
31,17,244,23,4805.37992187674,0.244,6
34,30,524,6,1176.59710042734,0.524,6
35,30,692,7,670.111246167239,0.692,6
37,21,470,30,2122.27203718521,0.47,6
39,35,412,9,2228.58420650316,0.412,6
38,34,312,14,3912.64557079956,0.312,6
42,38,141,22,19369.3110559716,0.141,6
43,42,960,8,5458.20626366161,0.96,6
44,40,389,23,5296.40160587133,0.389,6
48,41,570,58,1846.8380158363,0.57,6
59,53,510,9,5538.32914846526,0.51,6
56,53,536,11,13745.885637812,0.536,6
58,56,648,30,7859.83499327574,0.648,6
62,43,681,130,8074.48804745542,0.681,6
61,62,1000,8,1624.4982424513,1,6
63,56,446,67,12172.1858431349,0.446,6
65,63,933,18,6914.54028621631,0.933,6
45,75,802,14,1630.62530618146,0.802,6
46,14,533,7,670.113729203393,0.533,6
1,4,693,26,14583.9348128824,0.693,6
29,22,221,7,11819.2800800589,0.221,6
40,37,407,25,1955.70690545343,0.407,6
41,37,300,23,8000.25224150836,0.3,6
53,48,775,30,2039.09884286462,0.775,6
75,3,387,24,4707.9858863853,0.387,6
9,,1000,,,1,7
4,9,1000,17,0,1,7
3,1,980,6,0,0.98,7
15,5,772,18,0,0.772,7
10,2,958,29,2411.97395529211,0.958,7
13,3,514,40,0,0.514,7
16,10,883,21,0,0.883,7
17,15,396,33,0,0.396,7
20,23,895,10,0,0.895,7
22,16,623,28,0,0.623,7
