"","sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"03006PHI.348","EU086203","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2000","2000",2000,1353,"30-Aug-08","20-Oct-08","Homo sapiens","18931062","03006PHI"
"03006PHI.359","KU055513","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2000","2000",2000,211,"14-Jul-16","14-Jul-16","Canis familiaris","27380028","03006PHI"
"03007PHI.349","EU086204","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2001","2001",2001,1353,"30-Aug-08","20-Oct-08","Homo sapiens","18931062","03007PHI"
"03007PHI.360","KU055514","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2001","2001",2001,211,"14-Jul-16","14-Jul-16","Canis familiaris","27380028","03007PHI"
"04030PHI","KX148260","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2004","2004",2004,11804,"28-Nov-16","28-Nov-16","Canis familiaris","-","04030PHI"
"120","LC550023","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Nueva Ecija","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","120"
"121","LC550022","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","121"
"130","LC550021","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","130"
"131","LC550020","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","131"
"132","LC550019","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Bulacan","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","132"
"140","LC550018","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Zambales","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","140"
"55","LC550027","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","55"
"66","LC550026","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","66"
"87","LC550025","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","87"
"93","LC550024","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region III, Pampanga","2019","2019",2019,1353,"13-Oct-20","13-Oct-20","Canis lupus familiaris","-","93"
"94270PHI.345","EU086200","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,1353,"30-Aug-08","20-Oct-08","Canis familiaris","18931062","94270PHI"
"94270PHI.361","KU055569","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,211,"14-Jul-16","14-Jul-16","Canis familiaris","27380028","94270PHI"
"94272PHI","KX148259","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,11803,"28-Nov-16","28-Nov-16","Canis familiaris","-","94272PHI"
"94273PHI.346","EU086201","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,1353,"30-Aug-08","20-Oct-08","Canis familiaris","18931062","94273PHI"
"94273PHI.362","KU055570","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,211,"14-Jul-16","14-Jul-16","Canis familiaris","27380028","94273PHI"
"94275PHI","KX148263","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,11800,"28-Nov-16","28-Nov-16","Canis familiaris","-","94275PHI"
"94278PHI","KX148262","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,11800,"28-Nov-16","28-Nov-16","Canis familiaris","-","94278PHI"
"94280PHI.347","EU086202","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,1353,"30-Aug-08","20-Oct-08","Canis familiaris","18931062","94280PHI"
"94280PHI.363","KU055571","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,211,"14-Jul-16","14-Jul-16","Canis familiaris","27380028","94280PHI"
"94281PHI","KX148261","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","1994","1994",1994,11800,"28-Nov-16","28-Nov-16","Canis familiaris","-","94281PHI"
"A12_1952","KC792091","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2009","2009",2009,1572,"17-Jun-13","17-Jun-13","Canis familiaris","-","A12_1952"
"A12_1959","KC792092","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2009","2009",2009,1572,"17-Jun-13","17-Jun-13","Canis familiaris","-","A12_1959"
"A12_1964","KC792093","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2009","2009",2009,1572,"17-Jun-13","17-Jun-13","Canis familiaris","-","A12_1964"
"A12_1969","KC792094","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2009","2009",2009,1572,"17-Jun-13","17-Jun-13","Canis familiaris","-","A12_1969"
"A12_1973","KC792095","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2009","2009",2009,1572,"17-Jun-13","17-Jun-13","Canis familiaris","-","A12_1973"
"A12_1977","KC792096","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2009","2009",2009,1572,"17-Jun-13","17-Jun-13","Canis familiaris","-","A12_1977"
"A12_1978","KC792097","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2009","2009",2009,1572,"17-Jun-13","17-Jun-13","Canis familiaris","-","A12_1978"
"BAI/BAI3/2019-01/fel","MN857171","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","San Miguel, Bulacan","2019","2019",2019,11922,"16-Mar-20","16-Mar-20","feline","-","BAI/BAI3/2019-01/fel"
"BAI/BAI4A/2019-01/can","MN857170","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Angono, Rizal","2019","2019",2019,11922,"16-Mar-20","16-Mar-20","Canis familiaris","-","BAI/BAI4A/2019-01/can"
"BAI/BAINCR/2019-01/can","MN857167","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Caloocan City","2019","2019",2019,11922,"16-Mar-20","16-Mar-20","Canis familiaris","-","BAI/BAINCR/2019-01/can"
"BAI/BAINCR/2019-02/can","MN857168","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Quezon City","2019","2019",2019,11922,"16-Mar-20","16-Mar-20","Canis familiaris","-","BAI/BAINCR/2019-02/can"
"BAI/BAINCR/2019-03/can","MN857169","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Pasay City","2019","2019",2019,11922,"16-Mar-20","16-Mar-20","Canis familiaris","-","BAI/BAINCR/2019-03/can"
"PHI103.1","AB116577","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Mindanao Island","-","-",2001,873,"30-Jun-06","13-Jul-16","12153119","-","PHI103"
"PHI103.3","AB116581","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Mindanao Island","-","-",2001,588,"30-Jun-06","13-Jul-16","12153119","-","PHI103"
"PHI114.2","AB116578","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Mindanao Island","-","-",2001,873,"30-Jun-06","13-Jul-16","12153119","-","PHI114"
"PHI114.4","AB116582","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Mindanao Island","-","-",2001,588,"30-Jun-06","13-Jul-16","12153119","-","PHI114"
"Philippin_dog","KC792240","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","-","-",2013,1179,"17-Jun-13","17-Jun-13","Canis familiaris","-","Philippin_dog"
"RADDL1-16-154","MN726857","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2016","2016",2016,11553,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","RADDL1-16-154"
"RADDL3-1038","MN726850","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","RADDL3-1038"
"RADDL3-1045","MN726863","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","RADDL3-1045"
"RADDL3-15-172","MN726859","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","RADDL3-15-172"
"RADDL3-845","MN726864","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2016","2016",2016,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","RADDL3-845"
"RADDL5-005","MN726877","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2015","2015",2015,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","RADDL5-005"
"REGION_5_2018-100","MN726860","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2018","2018",2018,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","REGION_5_2018-100"
"REGION_5_2018-304","MN726876","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2018","2018",2018,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","REGION_5_2018-304"
"REGION_5_2018-311","MN726875","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2018","2018",2018,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","REGION_5_2018-311"
"REGION_5_2018-50","MN726852","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2018","2018",2018,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","REGION_5_2018-50"
"REGION_5_2019-1","MN726880","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2019","2019",2019,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","REGION_5_2019-1"
"REGION_5_2019-13","MN726842","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","-","2019","2019",2019,11653,"25-Dec-19","25-Dec-19","Canis lupus familiaris","-","REGION_5_2019-13"
"RV/CAR.PHL/2009/TRa-198.187","AB563973","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-198"
"RV/CAR.PHL/2009/TRa-198.242","AB683592","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-198"
"RV/CAR.PHL/2009/TRa-199.188","AB563974","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-199"
"RV/CAR.PHL/2009/TRa-199.243","AB683593","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-199"
