"4B-22-42" "4B-22-41" "4B-23-07" "4B-23-06" "4B-23-12" "4B-23-02" "Z-22-103" "4B-22-39" "4B-22-37" "4B-22-44" "H-23-011Sk_12" "4B-23-03" "Z-22-121" "4B-23-04" "4B-23-11" "4B-23-05" "4B-23-16" "4B-23-19" "4B-23-17" "Z-22-119" "4B-23-13" "4B-23-15" "4B-22-45" "4B-23-01"
"4B-22-42" 0 1.7e-08 0.000177514 0.000266219 8.8722e-05 8.8762e-05 3.9e-08 4.5e-08 5.1e-08 5.6e-08 0.014396669 0.022782868 0.022870054 0.023131689 0.000710959 0.00044419 0.000621718 0.000532954 0.000621736 0.000533049 1.8e-08 8.88e-05 8.9365e-05 8.9364e-05
"4B-22-41" 1.7e-08 0 0.000177507 0.000266212 8.8715e-05 8.8755e-05 3.2e-08 3.8e-08 4.4e-08 4.9e-08 0.014396662 0.022782861 0.022870047 0.023131682 0.000710952 0.000444183 0.000621711 0.000532947 0.000621729 0.000533042 2.3e-08 8.8805e-05 8.937e-05 8.9369e-05
"4B-23-07" 0.000177514 0.000177507 0 0.000443699 0.000266202 0.000266242 0.000177519 0.000177525 0.000177531 0.000177536 0.014574149 0.022960348 0.023047534 0.023309169 0.000888439 0.00062167 0.000799198 0.000710434 0.000799216 0.000710529 0.00017752 0.000266302 0.000266867 0.000266866
"4B-23-06" 0.000266219 0.000266212 0.000443699 0 0.000177509 0.000354937 0.000266214 0.00026622 0.000266226 0.000266231 0.014662844 0.023049043 0.023136229 0.023397864 0.000977134 0.000710365 0.000887893 0.000799129 0.000887911 0.000799224 0.000266225 0.000355007 0.000355572 0.000355571
"4B-23-12" 8.8722e-05 8.8715e-05 0.000266202 0.000177509 0 0.00017744 8.8717e-05 8.8723e-05 8.8729e-05 8.8734e-05 0.014485347 0.022871546 0.022958732 0.023220367 0.000799637 0.000532868 0.000710396 0.000621632 0.000710414 0.000621727 8.8728e-05 0.00017751 0.000178075 0.000178074
"4B-23-02" 8.8762e-05 8.8755e-05 0.000266242 0.000354937 0.00017744 0 8.8745e-05 8.8751e-05 8.8757e-05 8.8762e-05 0.014485375 0.022871574 0.02295876 0.023220395 0.000799665 0.000532896 0.000710424 0.00062166 0.000710442 0.000621755 8.8768e-05 0.00017755 0.000178115 0.000178114
"Z-22-103" 3.9e-08 3.2e-08 0.000177519 0.000266214 8.8717e-05 8.8745e-05 0 1.8e-08 2.4e-08 2.9e-08 0.014396642 0.022782841 0.022870027 0.023131662 0.000710932 0.000444163 0.000621691 0.000532927 0.000621709 0.000533022 4.5e-08 8.8827e-05 8.9392e-05 8.9391e-05
"4B-22-39" 4.5e-08 3.8e-08 0.000177525 0.00026622 8.8723e-05 8.8751e-05 1.8e-08 0 1.8e-08 2.3e-08 0.014396636 0.022782835 0.022870021 0.023131656 0.000710926 0.000444157 0.000621685 0.000532921 0.000621703 0.000533016 5.1e-08 8.8833e-05 8.9398e-05 8.9397e-05
"4B-22-37" 5.1e-08 4.4e-08 0.000177531 0.000266226 8.8729e-05 8.8757e-05 2.4e-08 1.8e-08 0 1.7e-08 0.01439663 0.022782829 0.022870015 0.02313165 0.00071092 0.000444151 0.000621679 0.000532915 0.000621697 0.00053301 5.7e-08 8.8839e-05 8.9404e-05 8.9403e-05
"4B-22-44" 5.6e-08 4.9e-08 0.000177536 0.000266231 8.8734e-05 8.8762e-05 2.9e-08 2.3e-08 1.7e-08 0 0.014396625 0.022782824 0.02287001 0.023131645 0.000710915 0.000444146 0.000621674 0.00053291 0.000621692 0.000533005 6.2e-08 8.8844e-05 8.9409e-05 8.9408e-05
"H-23-011Sk_12" 0.014396669 0.014396662 0.014574149 0.014662844 0.014485347 0.014485375 0.014396642 0.014396636 0.01439663 0.014396625 0 0.012352213 0.012439399 0.012701034 0.014925118 0.014658349 0.014835877 0.014747113 0.014835895 0.014747208 0.014396675 0.014485457 0.014486022 0.014486021
"4B-23-03" 0.022782868 0.022782861 0.022960348 0.023049043 0.022871546 0.022871574 0.022782841 0.022782835 0.022782829 0.022782824 0.012352213 0 8.7198e-05 0.000348833 0.023311317 0.023044548 0.023222076 0.023133312 0.023222094 0.023133407 0.022782874 0.022871656 0.022872221 0.02287222
"Z-22-121" 0.022870054 0.022870047 0.023047534 0.023136229 0.022958732 0.02295876 0.022870027 0.022870021 0.022870015 0.02287001 0.012439399 8.7198e-05 0 0.000261647 0.023398503 0.023131734 0.023309262 0.023220498 0.02330928 0.023220593 0.02287006 0.022958842 0.022959407 0.022959406
"4B-23-04" 0.023131689 0.023131682 0.023309169 0.023397864 0.023220367 0.023220395 0.023131662 0.023131656 0.02313165 0.023131645 0.012701034 0.000348833 0.000261647 0 0.023660138 0.023393369 0.023570897 0.023482133 0.023570915 0.023482228 0.023131695 0.023220477 0.023221042 0.023221041
"4B-23-11" 0.000710959 0.000710952 0.000888439 0.000977134 0.000799637 0.000799665 0.000710932 0.000710926 0.00071092 0.000710915 0.014925118 0.023311317 0.023398503 0.023660138 0 0.000799101 0.000976629 0.000887865 0.000976647 0.00088796 0.000710965 0.000799747 0.000800312 0.000800311
"4B-23-05" 0.00044419 0.000444183 0.00062167 0.000710365 0.000532868 0.000532896 0.000444163 0.000444157 0.000444151 0.000444146 0.014658349 0.023044548 0.023131734 0.023393369 0.000799101 0 0.000177538 8.8774e-05 0.000177556 8.8869e-05 0.000444196 0.000532978 0.000533543 0.000533542
"4B-23-16" 0.000621718 0.000621711 0.000799198 0.000887893 0.000710396 0.000710424 0.000621691 0.000621685 0.000621679 0.000621674 0.014835877 0.023222076 0.023309262 0.023570897 0.000976629 0.000177538 0 0.000266282 0.000355074 0.000266387 0.000621724 0.000710506 0.000711071 0.00071107
"4B-23-19" 0.000532954 0.000532947 0.000710434 0.000799129 0.000621632 0.00062166 0.000532927 0.000532921 0.000532915 0.00053291 0.014747113 0.023133312 0.023220498 0.023482133 0.000887865 8.8774e-05 0.000266282 0 0.00026631 0.000177623 0.00053296 0.000621742 0.000622307 0.000622306
"4B-23-17" 0.000621736 0.000621729 0.000799216 0.000887911 0.000710414 0.000710442 0.000621709 0.000621703 0.000621697 0.000621692 0.014835895 0.023222094 0.02330928 0.023570915 0.000976647 0.000177556 0.000355074 0.00026631 0 0.000266395 0.000621742 0.000710524 0.000711089 0.000711088
"Z-22-119" 0.000533049 0.000533042 0.000710529 0.000799224 0.000621727 0.000621755 0.000533022 0.000533016 0.00053301 0.000533005 0.014747208 0.023133407 0.023220593 0.023482228 0.00088796 8.8869e-05 0.000266387 0.000177623 0.000266395 0 0.000533055 0.000621837 0.000622402 0.000622401
"4B-23-13" 1.8e-08 2.3e-08 0.00017752 0.000266225 8.8728e-05 8.8768e-05 4.5e-08 5.1e-08 5.7e-08 6.2e-08 0.014396675 0.022782874 0.02287006 0.023131695 0.000710965 0.000444196 0.000621724 0.00053296 0.000621742 0.000533055 0 8.8794e-05 8.9359e-05 8.9358e-05
"4B-23-15" 8.88e-05 8.8805e-05 0.000266302 0.000355007 0.00017751 0.00017755 8.8827e-05 8.8833e-05 8.8839e-05 8.8844e-05 0.014485457 0.022871656 0.022958842 0.023220477 0.000799747 0.000532978 0.000710506 0.000621742 0.000710524 0.000621837 8.8794e-05 0 0.000178131 0.00017813
"4B-22-45" 8.9365e-05 8.937e-05 0.000266867 0.000355572 0.000178075 0.000178115 8.9392e-05 8.9398e-05 8.9404e-05 8.9409e-05 0.014486022 0.022872221 0.022959407 0.023221042 0.000800312 0.000533543 0.000711071 0.000622307 0.000711089 0.000622402 8.9359e-05 0.000178131 0 1.1e-08
"4B-23-01" 8.9364e-05 8.9369e-05 0.000266866 0.000355571 0.000178074 0.000178114 8.9391e-05 8.9397e-05 8.9403e-05 8.9408e-05 0.014486021 0.02287222 0.022959406 0.023221041 0.000800311 0.000533542 0.00071107 0.000622306 0.000711088 0.000622401 8.9358e-05 0.00017813 1.1e-08 0
