sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AB116577	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Mindanao Island	-	-	2001	873	30-Jun-2006	13-Jul-2016	12153119	-	PHI103
AB116578	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Mindanao Island	-	-	2001	873	30-Jun-2006	13-Jul-2016	12153119	-	PHI114
AB116581	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Mindanao Island	-	-	2001	588	30-Jun-2006	13-Jul-2016	12153119	-	PHI103
AB116582	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Mindanao Island	-	-	2001	588	30-Jun-2006	13-Jul-2016	12153119	-	PHI114
AB563791	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Cavite	2004	2004	2004	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2004/Z-04-042
AB563792	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 4A, Laguna	2004	2004	2004	699	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2004/Z-04-211
AB563793	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 4A, Cavite	2004	2004	2004	715	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2004/Z-04-389
AB563794	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Rizal	2004	2004	2004	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2004/Z-04-401
AB563795	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 4A, Cavite	2004	2004	2004	715	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2004/Z-04-420
AB563796	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2004	2004	2004	712	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2004/Z-04-421
AB563797	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Laguna	2004	2004	2004	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2004/Z-04-480
AB563798	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Aurora	2004	2004	2004	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2004/Z-04-519
