parent,node,branch.length,label,group,date,date_CI,Region.x,isTip,x,y,branch,angle,NCBI.accession,Sample.collection.date,Host.species,Region.y,Province,Municipality,Barangay,Location,source,corrected_date,decimal_date,outbreak,id_case,membership,lineage,lineage_chain,maddog,ACRdates
172,1,4.06787,PHI114,0,2001,NA,Northern Mindanao,TRUE,2001.073914,1,1999.039979,2.117647059,AB116578,2001,12153119,Northern Mindanao,NA,NA,NA,Mindanao Island,rabv-glue,1/1/01,2001,Other,NA,NA,NA,NA,NA,27-Jan-01
172,2,4.06787,PHI103,1,2001,NA,Northern Mindanao,TRUE,2001.073914,2,1999.039979,4.235294118,AB116577,2001,12153119,Northern Mindanao,NA,NA,NA,Mindanao Island,rabv-glue,1/1/01,2001,Other,NA,NA,NA,NA,NA,27-Jan-01
173,3,32.3007,H-23-011Sk_12,0,2023.09,NA,Southwestern Tagalog Region,TRUE,2023.161644,3,2007.011294,6.352941176,NA,2-Feb-23,Homo sapiens,Southwestern Tagalog Region,Romblon,NA,Concepcion Sur,Santa Maria,this paper,2/2/23,2023.087671,Romblon_new,Hu-1,NA,NA,chain2,Asian SEA4_A1.1.2,1-Mar-23
174,4,0.06054,Z-98-515,0,1998.38,NA,National Capital Region,TRUE,1998.454824,4,1998.424554,8.470588235,NA,20-May-98,Canis familiaris,National Capital Region,Metropolitan Manila,NA,Cupang,Muntinlupa,this paper,5/20/98,1998.380822,Other,NA,NA,NA,NA,NA,16-Jun-98
177,5,0.53028,RV/NCR.PHL/2005/Z-05-090,0,2005,NA,National Capital Region,TRUE,2005.074004,6,2004.808864,12.70588235,AB563803,2005,Canis lupus familiaris,National Capital Region,Metropolitan Manila,NA,NA,"NCR, Metro Manila",rabv-glue,1/1/05,2005,Other,NA,NA,NA,NA,NA,28-Jan-05
178,6,1.52895,Z-07-38,0,2007.33,NA,Calabarzon,TRUE,2007.405504,9,2006.641029,19.05882353,NA,2-May-07,Canis familiaris,Calabarzon,Cavite,NA,Timbol,Bacoor,this paper,5/2/07,2007.331507,Other,NA,NA,NA,NA,NA,29-May-07
178,7,2.01114,Z-07-351,0,2007.81,NA,National Capital Region,TRUE,2007.887694,10,2006.882124,21.17647059,NA,25-Oct-07,Canis familiaris,National Capital Region,Metropolitan Manila,NA,NA,Taguig,this paper,10/25/07,2007.813699,Other,NA,NA,NA,NA,NA,21-Nov-07
177,8,0.53028,RV/NCR.PHL/2005/Z-05-465,0,2005,NA,National Capital Region,TRUE,2005.074004,7,2004.808864,14.82352941,AB563815,2005,Canis lupus familiaris,National Capital Region,Metropolitan Manila,NA,NA,"NCR, Metro Manila",rabv-glue,1/1/05,2005,Other,NA,NA,NA,NA,NA,28-Jan-05
177,9,0.53028,RV/NCR.PHL/2005/Z-05-168,0,2005,NA,National Capital Region,TRUE,2005.074004,8,2004.808864,16.94117647,AB563806,2005,Canis lupus familiaris,National Capital Region,Metropolitan Manila,NA,NA,"NCR, Metro Manila",rabv-glue,1/1/05,2005,Other,NA,NA,NA,NA,NA,28-Jan-05
181,10,2.0912,Z-13-036,0,2013.15,NA,National Capital Region,TRUE,2013.224684,12,2012.179084,25.41176471,NA,25-Feb-13,Canis familiaris,National Capital Region,Metropolitan Manila,NA,Upper Bicutan,Taguig,this paper,2/25/13,2013.150685,Other,NA,NA,NA,NA,NA,24-Mar-13
181,11,2.02819,Z-13-020,0,2013.09,NA,National Capital Region,TRUE,2013.161674,13,2012.147579,27.52941176,NA,2-Feb-13,Canis familiaris,National Capital Region,Metropolitan Manila,NA,Sucat,Muntinlupa,this paper,2/2/13,2013.087671,Other,NA,NA,NA,NA,NA,1-Mar-13
182,12,4.0663,Z-14-058,0,2014.2,NA,Calabarzon,TRUE,2014.271264,14,2012.238114,29.64705882,NA,14-Mar-14,Canis familiaris,Calabarzon,Rizal,NA,NA,Taytay,this paper,3/14/14,2014.19726,Other,NA,NA,NA,NA,NA,10-Apr-14
183,13,0.35602,RV/R4A.PHL/2013/TRa-485,0,2013,NA,Bicol Region,TRUE,2013.074004,16,2012.895994,33.88235294,LC068916,2013,Canis lupus familiaris,Region Iv,Batangas,NA,NA,"Region IV, Batangas",rabv-glue,1/1/13,2013,Other,NA,NA,NA,NA,NA,28-Jan-13
183,14,0.35602,RV/CAR.PHL/2013/TRa-409,0,2013,NA,Cordillera Administrative Region,TRUE,2013.074004,17,2012.895994,36,LC018548,2013,Canis lupus familiaris,Cordillera Administrative Region,Benguet,NA,NA,"CAR, Benguet",rabv-glue,1/1/13,2013,Other,NA,NA,NA,NA,NA,28-Jan-13
183,15,1.35602,Z14-152,0,2014,NA,Bicol Region|Cordillera Administrative Region,TRUE,2014.074004,18,2013.395994,38.11764706,MN726873,2014,Canis lupus familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/14,2014,Other,NA,NA,NA,NA,NA,28-Jan-14
183,16,2.35602,Z-15-148,0,2015,NA,Bicol Region|Cordillera Administrative Region,TRUE,2015.074004,19,2013.895994,40.23529412,MN726840,2015,Canis lupus familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/15,2015,Other,NA,NA,NA,NA,NA,28-Jan-15
182,17,2.98959,Z-13-032,0,2013.12,NA,National Capital Region,TRUE,2013.194554,15,2011.699759,31.76470588,MN726862,14-Feb-13,Canis familiaris,National Capital Region,Metropolitan Manila,NA,Lower Bicutan,Taguig,this paper,2/14/13,2013.120548,Other,NA,NA,NA,NA,NA,13-Mar-13
179,18,8.16136,Z-13-086,0,2013.33,NA,Calabarzon,TRUE,2013.408254,11,2009.327574,23.29411765,NA,3-May-13,Canis familiaris,Calabarzon,Rizal,NA,San Carlos,Binangonan,this paper,5/3/13,2013.334247,Other,NA,NA,NA,NA,NA,30-May-13
176,19,3.26504,Z-05-557,0,2005.92,NA,National Capital Region,TRUE,2005.994554,5,2004.362034,10.58823529,NA,3-Dec-05,Canis familiaris,National Capital Region,Metropolitan Manila,NA,Rizal,Makati,this paper,12/3/05,2005.920548,Other,NA,NA,NA,NA,NA,30-Dec-05
184,20,1.95435,RV/NCR.PHL/2005/Z-05-424,0,2005,NA,National Capital Region,TRUE,2005.074004,20,2004.096829,42.35294118,AB563814,2005,Canis lupus familiaris,National Capital Region,Metropolitan Manila,NA,NA,"NCR, Metro Manila",rabv-glue,1/1/05,2005,Other,NA,NA,NA,NA,NA,28-Jan-05
184,21,2.09407,Z-05-102,0,2005.14,NA,National Capital Region,TRUE,2005.213724,21,2004.166689,44.47058824,NA,21-Feb-05,Canis familiaris,National Capital Region,Metropolitan Manila,NA,NA,Muntinlupa,this paper,2/21/05,2005.139726,Other,NA,NA,NA,NA,NA,20-Mar-05
184,22,0.95435,RV/NCR.PHL/2004/Z-04-534,0,2004,NA,National Capital Region,TRUE,2004.074004,22,2003.596829,46.58823529,AB563799,2004,Canis lupus familiaris,National Capital Region,Metropolitan Manila,NA,NA,"NCR, Metro Manila",rabv-glue,1/1/04,2004,Other,NA,NA,NA,NA,NA,28-Jan-04
185,23,0,RV/R4A.PHL/2006/Z-06-231,0,2006,2005.49|2006.0,Calabarzon,TRUE,2006.074004,30,2006.074004,63.52941176,AB563823,2006,Canis lupus familiaris,Calabarzon,Cavite,NA,NA,"Region4A, Cavite",rabv-glue,1/1/06,2006,Other,NA,NA,NA,NA,NA,28-Jan-06
185,24,1,RV/R4A.PHL/2007/Z-07-189,0,2007,NA,Calabarzon,TRUE,2007.074004,31,2006.574004,65.64705882,AB563832,2007,Canis lupus familiaris,Calabarzon,Cavite,NA,NA,"Region4A, Cavite",rabv-glue,1/1/07,2007,Other,NA,NA,NA,NA,NA,28-Jan-07
185,25,1,RV/R4A.PHL/2007/Z-07-317,0,2007,NA,Calabarzon,TRUE,2007.074004,32,2006.574004,67.76470588,AB563836,2007,Canis lupus familiaris,Calabarzon,Cavite,NA,NA,"Region4A, Cavite",rabv-glue,1/1/07,2007,Other,NA,NA,NA,NA,NA,28-Jan-07
185,26,0,RV/R4A.PHL/2006/Z-06-365,0,2006,2005.49|2006.0,Calabarzon,TRUE,2006.074004,33,2006.074004,69.88235294,AB563830,2006,Canis lupus familiaris,Calabarzon,Cavite,NA,NA,"Region4A, Cavite",rabv-glue,1/1/06,2006,Other,NA,NA,NA,NA,NA,28-Jan-06
184,27,1.95435,RV/NCR.PHL/2005/Z-05-299,0,2005,NA,National Capital Region,TRUE,2005.074004,23,2004.096829,48.70588235,AB563811,2005,Canis lupus familiaris,National Capital Region,Metropolitan Manila,NA,NA,"NCR, Metro Manila",rabv-glue,1/1/05,2005,Other,NA,NA,NA,NA,NA,28-Jan-05
184,28,1.95435,RV/NCR.PHL/2005/Z-05-187,0,2005,NA,National Capital Region,TRUE,2005.074004,24,2004.096829,50.82352941,AB563808,2005,Canis lupus familiaris,National Capital Region,Metropolitan Manila,NA,NA,"NCR, Metro Manila",rabv-glue,1/1/05,2005,Other,NA,NA,NA,NA,NA,28-Jan-05
184,29,0.95435,RV/NCR.PHL/2004/Z-04-421,0,2004,NA,National Capital Region,TRUE,2004.074004,25,2003.596829,52.94117647,AB563796,2004,Canis lupus familiaris,National Capital Region,Metropolitan Manila,NA,NA,"NCR, Metro Manila",rabv-glue,1/1/04,2004,Other,NA,NA,NA,NA,NA,28-Jan-04
184,30,3.95435,RV/R4A.PHL/2007/Z-07-307,0,2007,NA,Calabarzon,TRUE,2007.074004,26,2005.096829,55.05882353,AB563835,2007,Canis lupus familiaris,Calabarzon,Cavite,NA,NA,"R4A, Cavite",rabv-glue,1/1/07,2007,Other,NA,NA,NA,NA,NA,28-Jan-07
