ID,year,country,assignment,NCBI.accession,Sample.collection.date,Host.species,Region,Province,Municipality,Barangay,Location,source,corrected_date,decimal_date,outbreak
03006PHI,2000,Philippines,SEA4,EU086203,2000,Homo sapiens,NA,NA,NA,NA,-,rabv-glue,1/1/00,2000,Other
03007PHI,2001,Philippines,SEA4,EU086204,2001,Homo sapiens,NA,NA,NA,NA,-,rabv-glue,1/1/01,2001,Other
04030PHI,2004,Philippines,SEA4,EU086155,2004,Homo sapiens,NA,NA,NA,NA,-,rabv-glue,1/1/04,2004,Other
120,2019,Philippines,SEA4,LC550023,2019,Canis lupus familiaris,Ilocos Region,Nueva Ecija,NA,NA,"Region III, Nueva Ecija",rabv-glue,1/1/19,2019,Other
121,2019,Philippines,SEA4,LC550022,2019,Canis lupus familiaris,Ilocos Region,Bulacan,NA,NA,"Region III, Bulacan",rabv-glue,1/1/19,2019,Other
130,2019,Philippines,SEA4,LC550021,2019,Canis lupus familiaris,Ilocos Region,Bulacan,NA,NA,"Region III, Bulacan",rabv-glue,1/1/19,2019,Other
131,2019,Philippines,SEA4,LC550020,2019,Canis lupus familiaris,Ilocos Region,Bulacan,NA,NA,"Region III, Bulacan",rabv-glue,1/1/19,2019,Other
132,2019,Philippines,SEA4,LC550019,2019,Canis lupus familiaris,Ilocos Region,Bulacan,NA,NA,"Region III, Bulacan",rabv-glue,1/1/19,2019,Other
140,2019,Philippines,SEA4,LC550018,2019,Canis lupus familiaris,Ilocos Region,Zambales,NA,NA,"Region III, Zambales",rabv-glue,1/1/19,2019,Other
153,2018,Philippines,SEA4,NA,17/05/2018,Canis familiaris,NA,Albay,NA,Paulog,Ligao,this paper,5/17/18,2018.372603,Other
18-092,2018,Philippines,SEA4,OQ326757,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-094,2018,Philippines,SEA4,OQ326761,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-096,2018,Philippines,SEA4,OQ326764,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-099,2018,Philippines,SEA4,OQ326750,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-101,2018,Philippines,SEA4,OQ326755,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-102,2018,Philippines,SEA4,OQ326752,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-103,2018,Philippines,SEA4,OQ326754,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-106,2018,Philippines,SEA4,OQ326751,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-107,2018,Philippines,SEA4,OQ326749,2018,Canine,Davao Region,NA,Compostela Valley,NA,NA,genbank,1/1/18,2018,Other
18-114,2018,Philippines,SEA4,OQ326756,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-116,2018,Philippines,SEA4,OQ326753,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
